Transcript.ID GC_content length CNCI PLEK CPC2 PLncPRO Transdecoder
TRINITY_DN242_c0_g2_i2 0.4123867069486405 1324 coding coding coding 1 complete
TRINITY_DN242_c0_g2_i5 0.4344660194174757 824 coding coding coding 1 complete
TRINITY_DN242_c0_g2_i4 0.41625788367203925 1427 coding coding coding 1 complete
TRINITY_DN247_c1_g1_i4 0.40189873417721517 632 coding coding coding 1 complete
TRINITY_DN258_c0_g1_i4 0.4175334323922734 2019 coding coding coding 1 complete
TRINITY_DN258_c0_g1_i2 0.42889263631253516 1779 coding coding coding 1 complete
TRINITY_DN257_c0_g1_i4 0.40370116518163124 2918 coding coding coding 1 complete
TRINITY_DN257_c0_g1_i1 0.4030981067125645 2905 coding coding coding 1 complete
TRINITY_DN257_c0_g1_i2 0.42504816955684005 2595 coding coding coding 1 complete
TRINITY_DN257_c0_g1_i3 0.42447714949651433 2582 coding coding coding 1 complete
TRINITY_DN218_c0_g1_i5 0.420863309352518 2224 coding coding coding 1 complete
TRINITY_DN244_c0_g2_i5 0.49541650059784775 2509 coding coding coding 1 5prime_partial
TRINITY_DN273_c0_g1_i5 0.36694860117111255 1537 coding coding coding 1 complete
TRINITY_DN273_c0_g1_i6 0.36772486772486773 1512 coding coding coding 1 complete
TRINITY_DN284_c1_g3_i1 0.4520547945205479 1460 coding coding coding 1 complete
TRINITY_DN233_c0_g1_i5 0.36777063766683143 2023 coding coding coding 1 complete
TRINITY_DN233_c0_g1_i10 0.37377690802348335 1533 coding coding coding 1 5prime_partial
TRINITY_DN233_c0_g1_i11 0.37402088772845954 1532 coding coding coding 1 5prime_partial
TRINITY_DN259_c0_g2_i3 0.4106424206290058 6709 coding coding coding 1 complete
TRINITY_DN229_c1_g1_i1 0.3975720789074355 1977 coding coding coding 1 complete
TRINITY_DN297_c0_g2_i1 0.4097187962506167 4054 coding coding coding 1 complete
TRINITY_DN297_c0_g2_i3 0.40975488982421393 4039 coding coding coding 1 complete
TRINITY_DN297_c0_g2_i2 0.4152542372881356 3894 coding coding coding 1 complete
TRINITY_DN297_c0_g3_i1 0.39585267718972456 3231 coding coding coding 1 complete
TRINITY_DN287_c21_g1_i1 0.4301964839710445 967 coding coding coding 1 complete
TRINITY_DN287_c0_g6_i1 0.43025210084033616 595 coding coding coding 1 5prime_partial
TRINITY_DN255_c0_g1_i6 0.4377431906614786 1542 coding coding coding 1 5prime_partial
TRINITY_DN255_c0_g1_i3 0.38917462650012247 4083 coding coding coding 1 complete
TRINITY_DN326_c0_g2_i1 0.4355531686358754 1862 coding coding coding 1 complete
TRINITY_DN385_c1_g1_i4 0.41424936386768446 3930 coding coding coding 1 complete
TRINITY_DN385_c1_g1_i7 0.41714285714285715 3850 coding coding coding 1 complete
TRINITY_DN385_c1_g1_i3 0.4157504474558936 3911 coding coding coding 1 complete
TRINITY_DN317_c0_g1_i5 0.40806814529090324 6222 coding coding coding 1 complete
TRINITY_DN317_c0_g1_i11 0.42128935532233885 8004 coding coding coding 1 complete
TRINITY_DN392_c0_g1_i6 0.4282859680284192 4504 coding coding coding 1 complete
TRINITY_DN392_c0_g1_i1 0.42672722926129575 4183 coding coding coding 1 complete
TRINITY_DN392_c0_g1_i2 0.42735234673253986 4453 coding coding coding 1 complete
TRINITY_DN303_c0_g5_i1 0.40261739799846036 1299 coding coding coding 1 5prime_partial
TRINITY_DN327_c0_g1_i1 0.3745885450954575 1519 coding coding coding 1 5prime_partial
TRINITY_DN397_c0_g1_i4 0.4490005125576627 1951 coding coding coding 1 5prime_partial
TRINITY_DN397_c0_g1_i5 0.40110049232551404 3453 coding coding coding 1 complete
TRINITY_DN397_c0_g1_i1 0.4 3465 coding coding coding 1 complete
TRINITY_DN397_c0_g1_i2 0.42836979534227243 2834 coding coding coding 1 5prime_partial
TRINITY_DN397_c0_g1_i3 0.44380530973451326 2260 coding coding coding 1 5prime_partial
TRINITY_DN323_c0_g1_i4 0.4180238870792617 1842 coding coding coding 1 complete
TRINITY_DN323_c0_g1_i7 0.439918533604888 982 coding coding coding 1 complete
TRINITY_DN323_c0_g1_i1 0.4273182957393484 1596 coding coding coding 1 complete
TRINITY_DN323_c0_g1_i8 0.4234527687296417 1228 coding coding coding 1 complete
TRINITY_DN309_c0_g1_i1 0.398274622573688 1391 coding coding coding 1 complete
TRINITY_DN309_c0_g1_i3 0.3940520446096654 1345 coding coding coding 1 complete
TRINITY_DN348_c1_g1_i4 0.37727666955767564 3459 coding coding coding 1 complete
TRINITY_DN348_c1_g1_i3 0.3820096131837949 4369 coding coding coding 1 complete
TRINITY_DN348_c1_g1_i2 0.3782069760737965 3469 coding coding coding 1 complete
TRINITY_DN348_c0_g1_i5 0.40509351372861124 2513 coding coding coding 1 complete
TRINITY_DN348_c0_g1_i3 0.418331374853114 1702 coding coding coding 1 complete
TRINITY_DN348_c0_g1_i17 0.4138121546961326 1810 coding coding coding 1 complete
TRINITY_DN348_c0_g1_i14 0.4139254385964912 1824 coding coding coding 1 complete
TRINITY_DN342_c0_g1_i6 0.3971363978899774 1327 coding coding coding 1 3prime_partial
TRINITY_DN342_c0_g1_i7 0.4095940959409594 1626 coding coding coding 1 3prime_partial
TRINITY_DN363_c0_g1_i3 0.4193029490616622 1865 coding coding coding 1 3prime_partial
TRINITY_DN347_c0_g1_i4 0.43881723812519663 3179 coding coding coding 1 complete
TRINITY_DN347_c0_g1_i1 0.4104838709677419 1240 coding coding coding 1 5prime_partial
TRINITY_DN347_c0_g1_i8 0.44285249104526214 3071 coding coding coding 1 complete
TRINITY_DN347_c0_g1_i9 0.4604072398190045 2652 coding coding coding 1 complete
TRINITY_DN468_c0_g1_i4 0.45463274123859815 2083 coding coding coding 1 complete
TRINITY_DN468_c0_g1_i5 0.454066985645933 2090 coding coding coding 1 complete
TRINITY_DN468_c0_g1_i1 0.45107946715663755 2177 coding coding coding 1 complete
TRINITY_DN435_c0_g2_i1 0.4137862137862138 5005 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i4 0.41694780710458423 5039 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i5 0.40959942259112236 5542 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i1 0.3968871595330739 2056 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i2 0.41688285771303135 5011 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i3 0.416999201915403 5012 coding coding coding 1 complete
TRINITY_DN410_c0_g1_i9 0.39702352376380223 2083 coding coding coding 1 complete
TRINITY_DN441_c0_g1_i1 0.3885065381968341 2906 coding coding coding 1 complete
TRINITY_DN441_c0_g1_i3 0.3971736705094831 2689 coding coding coding 1 complete
TRINITY_DN409_c0_g2_i1 0.4140625 896 coding coding coding 1 5prime_partial
TRINITY_DN445_c1_g1_i1 0.44932671863926293 1411 coding coding coding 1 3prime_partial
TRINITY_DN438_c0_g1_i3 0.38081471747700396 3805 coding coding coding 1 complete
TRINITY_DN438_c0_g1_i14 0.4312169312169312 1512 coding coding coding 1 complete
TRINITY_DN438_c0_g1_i12 0.39264990328820115 1551 coding coding coding 1 complete
TRINITY_DN438_c2_g1_i1 0.41991643454038996 2872 coding coding coding 1 3prime_partial
TRINITY_DN438_c2_g1_i4 0.4200976971388695 2866 coding coding coding 1 3prime_partial
TRINITY_DN438_c2_g1_i13 0.41917226742129465 2827 coding coding coding 1 3prime_partial
TRINITY_DN439_c0_g1_i4 0.4562284279887041 3187 coding coding coding 1 complete
TRINITY_DN439_c0_g1_i1 0.4541795665634675 3230 coding coding coding 1 complete
TRINITY_DN403_c0_g1_i5 0.38552188552188554 1782 coding coding coding 1 complete
TRINITY_DN403_c0_g1_i6 0.3834443387250238 2102 coding coding coding 1 complete
TRINITY_DN403_c0_g1_i3 0.38449023861171366 1844 coding coding coding 1 complete
TRINITY_DN480_c0_g1_i13 0.4011352885525071 2114 coding coding coding 1 complete
TRINITY_DN442_c0_g2_i1 0.40801186943620177 3370 coding coding coding 1 complete
TRINITY_DN454_c0_g1_i4 0.42436585817441214 5401 coding coding coding 1 complete
TRINITY_DN454_c0_g1_i6 0.4266263237518911 5288 coding coding coding 1 complete
TRINITY_DN454_c0_g1_i2 0.4267877412031782 5286 coding coding coding 1 complete
TRINITY_DN454_c0_g1_i12 0.4316324276562845 4527 coding coding coding 1 complete
TRINITY_DN498_c0_g1_i10 0.39693877551020407 980 coding coding coding 1 5prime_partial
TRINITY_DN497_c0_g1_i1 0.41918226977455103 2617 coding coding coding 1 complete
TRINITY_DN580_c0_g1_i5 0.40098907892025554 4853 coding coding coding 1 complete
TRINITY_DN546_c0_g2_i1 0.4072149189850199 3271 coding coding coding 1 complete
TRINITY_DN546_c0_g2_i3 0.4219285364659814 2043 coding coding coding 1 complete
TRINITY_DN546_c0_g2_i2 0.4110015568240789 1927 coding coding coding 1 complete
TRINITY_DN546_c0_g2_i5 0.4217221135029354 2044 coding coding coding 1 3prime_partial
TRINITY_DN546_c0_g2_i4 0.4063926940639269 3285 coding coding coding 1 complete
TRINITY_DN548_c0_g1_i1 0.3966183574879227 2070 coding coding coding 1 complete
TRINITY_DN573_c0_g1_i1 0.39335548172757473 1505 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i4 0.39071176173649674 1981 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i5 0.39285714285714285 2240 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i6 0.39136363636363636 2200 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i1 0.37922403003754696 2397 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i2 0.39622641509433965 2120 coding coding coding 1 complete
TRINITY_DN536_c0_g1_i3 0.3810198300283286 2118 coding coding coding 1 complete
TRINITY_DN539_c0_g2_i1 0.4420289855072464 1104 coding coding coding 1 5prime_partial
TRINITY_DN559_c0_g1_i4 0.4097959183673469 1225 coding coding coding 1 complete
TRINITY_DN559_c0_g1_i1 0.414332784184514 1214 coding coding coding 1 complete
TRINITY_DN559_c0_g1_i3 0.414332784184514 1214 coding coding coding 1 complete
TRINITY_DN544_c1_g2_i5 0.4352094240837696 1528 coding coding coding 1 5prime_partial
TRINITY_DN530_c0_g1_i5 0.40052894504848663 3403 coding coding coding 1 complete
TRINITY_DN527_c0_g1_i12 0.40328669775705084 4503 coding coding coding 1 3prime_partial
TRINITY_DN587_c0_g1_i1 0.42835595776772245 2652 coding coding coding 1 complete
TRINITY_DN587_c0_g1_i2 0.42274881516587676 2110 coding coding coding 1 5prime_partial
TRINITY_DN516_c0_g2_i3 0.4524484014569 2471 coding coding coding 1 complete
TRINITY_DN532_c0_g1_i4 0.40026631158455395 3755 coding coding coding 1 complete
TRINITY_DN532_c0_g1_i1 0.39978094194961666 3652 coding coding coding 1 complete
TRINITY_DN592_c0_g2_i1 0.4270557029177719 2262 coding coding coding 1 complete
TRINITY_DN592_c0_g2_i3 0.42008032128514056 2490 coding coding coding 1 complete
TRINITY_DN555_c0_g1_i5 0.42725752508361203 1196 coding coding coding 1 complete
TRINITY_DN549_c0_g3_i3 0.4026186579378069 1222 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i4 0.41466346153846156 1664 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i5 0.4138741916519694 1701 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i6 0.4125766871165644 1956 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i7 0.4105691056910569 1968 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i1 0.4099538224730631 1949 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i2 0.41045548654244307 1932 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i3 0.41379310344827586 1682 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i8 0.4115853658536585 1968 coding coding coding 1 complete
TRINITY_DN541_c0_g1_i9 0.4106680476437079 1931 coding coding coding 1 complete
TRINITY_DN597_c0_g2_i1 0.4180629342051492 2447 coding coding coding 1 complete
TRINITY_DN578_c0_g1_i3 0.4321981424148607 1615 coding coding coding 1 complete
TRINITY_DN674_c1_g1_i10 0.39587073608617596 1114 coding coding coding 1 complete
TRINITY_DN609_c0_g1_i1 0.4222222222222222 1440 coding coding coding 1 complete
TRINITY_DN609_c0_g2_i1 0.3864013266998342 1206 coding coding coding 1 complete
TRINITY_DN609_c0_g2_i4 0.38875305623471884 1227 coding coding coding 1 complete
TRINITY_DN643_c0_g1_i6 0.4267068273092369 2988 coding coding coding 1 complete
TRINITY_DN643_c0_g1_i9 0.43451652386780903 2451 coding coding coding 1 complete
TRINITY_DN639_c0_g2_i1 0.4102911306702776 1477 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i4 0.4058782365290413 2858 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i5 0.40047961630695444 2919 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i7 0.4030716723549488 2930 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i1 0.40088555858310626 2936 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i3 0.4032314717246224 2847 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i8 0.40549102428722283 2841 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i9 0.40267765190525234 2913 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i12 0.40552834149755074 2858 coding coding coding 1 complete
TRINITY_DN670_c0_g1_i10 0.4036312849162011 2864 coding coding coding 1 complete
TRINITY_DN612_c0_g1_i6 0.44751908396946566 1048 coding coding coding 1 complete
TRINITY_DN612_c0_g1_i7 0.42154324184360437 1931 coding coding coding 1 complete
TRINITY_DN612_c0_g1_i1 0.38453914767096137 2018 coding coding coding 1 complete
TRINITY_DN620_c0_g1_i23 0.4203763194125746 2179 coding coding coding 1 complete
TRINITY_DN682_c0_g1_i15 0.4226145755071375 2662 coding coding coding 1 complete
TRINITY_DN606_c0_g3_i2 0.4114630467571644 3315 coding coding coding 1 complete
TRINITY_DN606_c0_g3_i3 0.4351015801354402 1772 coding coding coding 1 complete
TRINITY_DN618_c0_g1_i2 0.39585200358468825 7811 coding coding coding 1 complete
TRINITY_DN653_c0_g1_i1 0.3961491192134371 2441 coding coding coding 1 complete
TRINITY_DN653_c0_g1_i3 0.39948892674616693 2348 coding coding coding 1 complete
TRINITY_DN601_c1_g5_i1 0.4024041213508872 1747 coding coding coding 1 5prime_partial
TRINITY_DN650_c0_g2_i3 0.4335016835016835 1188 coding coding coding 1 complete
TRINITY_DN650_c0_g2_i2 0.4409722222222222 1152 coding coding coding 1 complete
TRINITY_DN650_c0_g2_i5 0.4641434262948207 1004 coding coding coding 1 complete
TRINITY_DN650_c0_g2_i6 0.4651866801210898 991 coding coding coding 1 complete
TRINITY_DN634_c0_g1_i4 0.44327390599675853 1234 coding coding coding 1 5prime_partial
TRINITY_DN634_c0_g1_i5 0.4342900302114804 1324 coding coding coding 1 5prime_partial
TRINITY_DN659_c0_g1_i5 0.43588640275387264 2324 coding coding coding 1 3prime_partial
TRINITY_DN659_c0_g1_i6 0.43228385807096453 2001 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i1 0.44016005820298293 2749 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i2 0.4448580735225686 2149 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i3 0.438974358974359 1950 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i8 0.4434959349593496 2460 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i18 0.44471153846153844 2496 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i17 0.4010315925209542 1551 coding coding coding 1 5prime_partial
TRINITY_DN659_c0_g1_i14 0.4441176470588235 2380 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i12 0.43731431966726086 1683 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i13 0.4500246184145741 2031 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i10 0.445364238410596 2416 coding coding coding 1 complete
TRINITY_DN659_c0_g1_i11 0.4434453383814482 2113 coding coding coding 1 complete
TRINITY_DN667_c0_g1_i5 0.42005185825410546 1157 coding coding coding 1 3prime_partial
TRINITY_DN690_c0_g2_i3 0.42309512541410316 2113 coding coding coding 1 complete
TRINITY_DN688_c0_g2_i1 0.4242738589211618 3856 coding coding coding 1 complete
TRINITY_DN688_c0_g2_i3 0.43261802575107294 3495 coding coding coding 1 complete
TRINITY_DN688_c0_g2_i5 0.42857142857142855 3689 coding coding coding 1 complete
TRINITY_DN688_c0_g2_i4 0.43220575901593516 3577 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i8 0.3882091212458287 1798 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i5 0.3881253435953821 1819 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i7 0.4001292824822237 1547 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i6 0.40198511166253104 1209 coding coding coding 1 5prime_partial
TRINITY_DN661_c1_g1_i3 0.39203084832904883 1556 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i2 0.4053672316384181 1416 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i11 0.38373751783166904 1402 coding coding coding 1 complete
TRINITY_DN661_c1_g1_i12 0.39490049751243783 1608 coding coding coding 1 complete
TRINITY_DN693_c0_g2_i1 0.4054982817869416 873 coding coding coding 1 complete
TRINITY_DN757_c0_g1_i3 0.43896713615023475 1704 coding coding coding 1 complete
TRINITY_DN746_c0_g1_i6 0.5275482093663911 1452 coding coding coding 1 complete
TRINITY_DN746_c0_g1_i7 0.5306553911205074 1419 coding coding coding 1 complete
TRINITY_DN746_c0_g1_i2 0.5220883534136547 1494 coding coding coding 1 complete
TRINITY_DN786_c1_g1_i1 0.40516698172652804 3174 coding coding coding 1 complete
TRINITY_DN711_c0_g2_i1 0.3961499493414387 987 coding coding coding 1 complete
TRINITY_DN711_c0_g3_i1 0.39348710990502034 737 coding coding coding 1 complete
TRINITY_DN764_c0_g1_i4 0.3762123532414497 1959 coding coding coding 1 complete
TRINITY_DN764_c0_g1_i2 0.39791538933169834 1631 coding coding coding 1 complete
TRINITY_DN764_c0_g1_i8 0.38500764915859254 1961 coding coding coding 1 complete
TRINITY_DN781_c1_g2_i1 0.39218833600856073 9345 coding coding coding 1 complete
TRINITY_DN781_c1_g2_i2 0.39564757442949977 6617 coding coding coding 1 complete
