"","TRINITY_ID","scaffold","t_start","t_end","strand"
"158","TRINITY_DN2422_c0_g1_i9","MA_10430861|MA_10430861","7692|8077","8377|10196","-|+"
"159","TRINITY_DN2422_c0_g1_i12","MA_10430861|MA_10430861","7692|8077","8377|10196","-|+"
"160","TRINITY_DN2423_c0_g1_i2","MA_6536","23416","23449","-"
"161","TRINITY_DN2479_c1_g2_i11","MA_10433867","37894","38846","+"
"162","TRINITY_DN2479_c1_g2_i3","MA_10433867","37894","38549","+"
"163","TRINITY_DN2479_c1_g2_i4","MA_10433867|MA_10433867","37894|38410","38523|38567","+|+"
"164","TRINITY_DN2413_c0_g2_i1","MA_12503","40618","41046","+"
"165","TRINITY_DN2563_c0_g2_i1","MA_28469","7742","8049","+"
"166","TRINITY_DN2577_c0_g1_i4","MA_103178","17521","18017","-"
"167","TRINITY_DN2577_c0_g1_i5","MA_103178","17521","18017","-"
"168","TRINITY_DN2583_c2_g1_i1","MA_20586","12377","12397","-"
"169","TRINITY_DN2679_c0_g1_i3","MA_40721","14344","15356","-"
"170","TRINITY_DN2623_c0_g1_i1","MA_10428073","20290","29087","+"
"171","TRINITY_DN2637_c3_g1_i1","MA_10428902","12871","13583","-"
"172","TRINITY_DN2608_c0_g1_i9","MA_40721","13528","14348","-"
"173","TRINITY_DN2608_c0_g3_i1","MA_10434762","17622","18670","+"
"174","TRINITY_DN2639_c1_g1_i6","MA_121478|MA_3394|MA_50166","3026|22009|12924","3166|22284|13125","+|-|+"
"175","TRINITY_DN2639_c1_g1_i2","MA_3394","21936","22307","-"
"176","TRINITY_DN2639_c1_g1_i13","MA_121478|MA_50166","3003|12882","3166|13125","+|+"
"177","TRINITY_DN2698_c0_g1_i7","MA_18877","21101","21691","+"
"178","TRINITY_DN2763_c0_g1_i6","MA_10430214","129","1376","+"
"179","TRINITY_DN2763_c0_g1_i13","MA_10430214|MA_10430214","1|821","788|2577","+|+"
"180","TRINITY_DN2776_c0_g2_i1","MA_31864","1619","1644","+"
"181","TRINITY_DN2788_c0_g1_i4","MA_28547","5726","5966","+"
"182","TRINITY_DN2747_c0_g1_i8","MA_1732","8161","8918","+"
"183","TRINITY_DN2747_c0_g1_i10","MA_1732","8161","8918","+"
"184","TRINITY_DN2727_c1_g1_i5","MA_10436929","36698","37589","+"
"185","TRINITY_DN2727_c1_g1_i4","MA_10436929","36714","37589","-"
"186","TRINITY_DN2727_c1_g1_i6","MA_10436929","36714","37589","-"
"187","TRINITY_DN2727_c1_g1_i1","MA_10436929","36698","37589","+"
"188","TRINITY_DN2809_c0_g1_i2","MA_10436756|MA_10436756","7745|8784","18017|9513","-|-"
"189","TRINITY_DN2809_c0_g1_i3","MA_10436756|MA_10436756","7913|8784","18017|9513","-|-"
"190","TRINITY_DN2839_c0_g1_i1","MA_10435912","39447","42154","-"
"191","TRINITY_DN2878_c0_g1_i6","MA_138205|MA_90039","10459|8137","12039|8841","+|+"
"192","TRINITY_DN2878_c0_g1_i3","MA_90039","8277","8841","+"
"193","TRINITY_DN2878_c0_g1_i8","MA_138205|MA_90039","10459|8136","12039|8841","+|+"
"194","TRINITY_DN2859_c0_g1_i6","MA_135183|MA_9945","642|34053","1543|34961","-|-"
"195","TRINITY_DN2830_c1_g1_i1","MA_170091","21099","21944","+"
"196","TRINITY_DN2980_c1_g1_i3","MA_112366|MA_28818","871|2248","1091|3057","-|+"
"197","TRINITY_DN2949_c0_g1_i3","MA_8546","46527","51901","+"
"198","TRINITY_DN2967_c0_g2_i1","MA_10429207","21223","21862","+"
"199","TRINITY_DN2918_c1_g1_i1","MA_10379563","3567","3956","-"
"200","TRINITY_DN3068_c2_g1_i14","MA_171883","10439","11033","-"
"201","TRINITY_DN3036_c0_g1_i5","MA_10428073","15598","15822","+"
"202","TRINITY_DN3036_c0_g1_i6","MA_10434813|MA_160270","23635|10935","24769|12069","-|+"
"203","TRINITY_DN3025_c0_g1_i1","MA_10392761|MA_168233|MA_181399","24651|24839|5579","25164|25352|6086","+|+|+"
"204","TRINITY_DN3025_c0_g1_i13","MA_181399|MA_181399","5807|5871","6068|6724","+|+"
"205","TRINITY_DN3064_c0_g1_i1","MA_111881","12382","12934","+"
"206","TRINITY_DN3011_c0_g1_i3","MA_36495|MA_36495","5595|5596","5732|7088","+|+"
"207","TRINITY_DN3187_c0_g1_i1","MA_42723","2062","2472","+"
"208","TRINITY_DN3113_c0_g1_i9","MA_3206|MA_62967","27237|578","27525|1701","-|+"
"209","TRINITY_DN3134_c1_g2_i1","MA_14296","3252","4285","-"
"210","TRINITY_DN3163_c0_g1_i2","MA_174384","12571","13353","-"
"211","TRINITY_DN3163_c0_g1_i13","MA_174384","12051","13323","-"
"212","TRINITY_DN3110_c2_g1_i1","MA_13436","22764","24500","-"
"213","TRINITY_DN3233_c0_g2_i1","MA_63040","7975","9047","-"
"214","TRINITY_DN3280_c0_g3_i1","MA_10428357","5817","6875","+"
"215","TRINITY_DN3252_c1_g1_i1","MA_10435288","13431","13657","-"
"216","TRINITY_DN3235_c0_g2_i2","MA_17746|MA_17746","12042|13068","13176|13482","-|-"
"217","TRINITY_DN3226_c0_g2_i3","MA_13635","41896","43735","-"
"218","TRINITY_DN3390_c1_g1_i6","MA_10433266|MA_10434813|MA_160270","38447|23581|9924","40166|25780|12123","-|+|-"
"219","TRINITY_DN3390_c1_g1_i1","MA_10434813|MA_10434813","25206|27187","25733|27528","+|+"
"220","TRINITY_DN3390_c1_g1_i10","MA_10433266|MA_10434813|MA_160270","38688|24688|8172","39486|27532|11016","-|+|-"
"221","TRINITY_DN3390_c1_g1_i12","MA_10433266|MA_10434813|MA_160270","38447|23581|7873","40166|27831|12123","-|+|-"
"222","TRINITY_DN3390_c1_g1_i19","MA_10434813|MA_160270","23581|11045","24659|12123","+|-"
"223","TRINITY_DN3390_c11_g1_i1","MA_10428073","15519","15758","+"
"224","TRINITY_DN3329_c1_g1_i3","MA_16231","3520","5478","+"
"225","TRINITY_DN3419_c0_g1_i4","MA_61211","5072","7984","-"
"226","TRINITY_DN3419_c0_g1_i5","MA_61211","5072","8343","-"
"227","TRINITY_DN3419_c0_g1_i2","MA_61211|MA_61211","8289|8525","8647|8644","-|-"
"228","TRINITY_DN3419_c0_g1_i17","MA_61211|MA_61211","8289|8525","8647|8644","-|-"
"229","TRINITY_DN3426_c2_g1_i1","MA_32122","3495","4003","+"
"230","TRINITY_DN3545_c0_g1_i2","MA_10428966|MA_177359","3105|15814","3615|16105","-|-"
"231","TRINITY_DN3571_c12_g1_i2","MA_10436403|MA_183628","9864|2581","10683|3374","-|-"
"232","TRINITY_DN3571_c12_g1_i1","MA_10436403","9982","10683","-"
"233","TRINITY_DN3519_c0_g2_i19","MA_10431808","15293","16309","+"
"234","TRINITY_DN3517_c0_g1_i15","MA_10317245|MA_10317245","13104|15545","15696|16327","-|-"
"235","TRINITY_DN3517_c0_g1_i12","MA_10305130|MA_10317245","8024|13104","8585|16396","+|-"
"236","TRINITY_DN3517_c0_g1_i10","MA_10305130|MA_10317245","8024|13104","8585|16396","+|-"
"237","TRINITY_DN3690_c1_g1_i5","MA_37890","15383","16416","+"
"238","TRINITY_DN3690_c1_g1_i7","MA_37890","15383","16837","+"
"239","TRINITY_DN3690_c1_g1_i6","MA_37890","15383","16837","+"
"240","TRINITY_DN3690_c1_g1_i2","MA_37890","15626","16837","+"
"241","TRINITY_DN3632_c0_g1_i2","MA_83092","6360","6868","+"
"242","TRINITY_DN3657_c0_g1_i1","MA_43688","1418","2087","+"
"243","TRINITY_DN3658_c0_g1_i4","MA_10432309|MA_55139","5045|8209","5331|10551","+|-"
"244","TRINITY_DN3658_c0_g1_i6","MA_10432309","5334","7526","+"
"245","TRINITY_DN3730_c0_g1_i3","MA_173921|MA_43657","21545|29603","21678|29878","+|-"
"246","TRINITY_DN3706_c0_g1_i1","MA_123663","7402","8141","+"
"247","TRINITY_DN3740_c0_g1_i2","MA_10430098","42327","42924","+"
"248","TRINITY_DN3758_c0_g1_i10","MA_113464","6065","7369","+"
"249","TRINITY_DN3761_c0_g1_i1","MA_20659","521","1847","-"
"250","TRINITY_DN3761_c0_g1_i2","MA_20659","521","1847","-"
"251","TRINITY_DN3753_c1_g1_i4","MA_10428968|MA_10428968","2622|2635","2835|2765","-|-"
"252","TRINITY_DN3835_c0_g1_i7","MA_69620","1207","1638","+"
"253","TRINITY_DN3851_c1_g1_i7","MA_138737","7928","9915","-"
"254","TRINITY_DN3853_c0_g2_i3","MA_2642","19903","21338","-"
"255","TRINITY_DN3853_c0_g2_i4","MA_53827","9272","9315","-"
"256","TRINITY_DN3911_c3_g1_i1","MA_87371","22943","23829","-"
"257","TRINITY_DN3936_c0_g1_i1","MA_121693","14913","15908","-"
"258","TRINITY_DN4023_c0_g1_i1","MA_19290","23514","24094","-"
"259","TRINITY_DN4023_c0_g1_i2","MA_19290","23514","24094","-"
"260","TRINITY_DN4029_c0_g1_i1","MA_10432618|MA_10432618","5264|5573","5384|5838","-|-"
"261","TRINITY_DN4052_c0_g2_i3","MA_12503|MA_12503","38124|38753","38860|40185","+|+"
"262","TRINITY_DN4043_c1_g2_i1","MA_10432461","20109","21373","-"
"263","TRINITY_DN4018_c0_g1_i1","MA_84856","9192","9971","+"
"264","TRINITY_DN4018_c0_g1_i2","MA_84856","9192","10467","+"
"265","TRINITY_DN4011_c0_g1_i5","MA_10426887|MA_30848","39702|2226","40099|2635","-|+"
"266","TRINITY_DN4072_c0_g1_i3","MA_10427763|MA_16782","10185|33344","10398|34471","-|-"
"267","TRINITY_DN4144_c0_g1_i4","MA_10437041","3138","4355","+"
"268","TRINITY_DN4144_c0_g1_i6","MA_10437041|MA_10437041","3138|3270","4389|4355","+|+"
"269","TRINITY_DN4117_c1_g1_i8","MA_10436946|MA_66200","7309|35631","7738|35867","+|+"
"270","TRINITY_DN4117_c1_g1_i12","MA_10436946|MA_10436946","7438|7611","7754|7761","+|+"
"271","TRINITY_DN4151_c2_g4_i1","MA_133879|MA_55646","9493|21825","9735|22523","-|-"
"272","TRINITY_DN4188_c0_g1_i6","MA_10428615","9845","11529","-"
"273","TRINITY_DN4188_c0_g1_i7","MA_10428615","9845","10496","-"
"274","TRINITY_DN4188_c0_g1_i1","MA_10428615","9845","10496","-"
"275","TRINITY_DN4188_c0_g1_i2","MA_10428615","9845","11529","-"
"276","TRINITY_DN4146_c0_g1_i6","MA_9504","6298","6712","-"
"277","TRINITY_DN4146_c0_g1_i7","MA_9504","6298","7350","-"
"278","TRINITY_DN4146_c0_g1_i1","MA_9504","6298","7350","-"
"279","TRINITY_DN4146_c0_g1_i3","MA_9504","5514","6539","+"
"280","TRINITY_DN4149_c0_g5_i1","MA_130755","12349","13726","-"
"281","TRINITY_DN4293_c0_g1_i1","MA_10432371","21001","21846","+"
"282","TRINITY_DN4293_c0_g1_i2","MA_10432371","21001","21846","+"
"283","TRINITY_DN4268_c0_g3_i1","MA_48815","17727","18848","-"
"284","TRINITY_DN4211_c4_g1_i1","MA_10427098","53655","54683","-"
"285","TRINITY_DN4226_c0_g1_i1","MA_10433553|MA_10433553","36|124","232|1534","-|-"
"286","TRINITY_DN4226_c0_g1_i3","MA_10433553|MA_10433553","36|124","232|1534","-|-"
"287","TRINITY_DN4226_c0_g1_i15","MA_10433553|MA_10433553","36|124","232|1534","-|-"
"288","TRINITY_DN4226_c0_g1_i12","MA_10433553|MA_10433553","36|124","232|1534","-|-"
"289","TRINITY_DN4212_c0_g1_i6","MA_10434169","23535","24305","-"
"290","TRINITY_DN4212_c0_g1_i8","MA_10434169","23535","24305","-"
"291","TRINITY_DN4354_c0_g1_i3","MA_19153","92099","92638","-"
"292","TRINITY_DN4485_c1_g1_i5","MA_82066|MA_90529","25515|20225","25962|21157","-|-"
"293","TRINITY_DN4485_c1_g1_i2","MA_82066|MA_90529","25515|20225","26073|21978","-|-"
"294","TRINITY_DN4407_c0_g1_i5","MA_14420","46114","46532","+"
"295","TRINITY_DN4407_c0_g1_i3","MA_14420","46074","46337","+"
"296","TRINITY_DN4467_c0_g2_i1","MA_10329892","17859","18151","-"
"297","TRINITY_DN4460_c1_g1_i1","MA_18730","15530","17038","+"
"298","TRINITY_DN4405_c0_g1_i10","MA_10427017|MA_10427017","35825|49801","36739|49939","-|-"
"299","TRINITY_DN4582_c0_g1_i2","MA_10435786","4256","5658","-"
"300","TRINITY_DN4547_c0_g2_i1","MA_10430861","6159","7762","-"
"301","TRINITY_DN4724_c0_g1_i10","MA_10429952|MA_164754","5126|8639","7642|9603","+|+"
"302","TRINITY_DN4727_c0_g2_i2","MA_93136","9383","10038","-"
"303","TRINITY_DN4760_c0_g1_i4","MA_10430861","10250","11166","-"
"304","TRINITY_DN4760_c0_g1_i1","MA_10430861","10630","11166","-"
"305","TRINITY_DN4760_c0_g1_i14","MA_10430861","14059","14849","-"
"306","TRINITY_DN4760_c0_g1_i15","MA_10430861|MA_10430861","10720|14059","14418|14213","+|-"
"307","TRINITY_DN4760_c0_g1_i11","MA_10430861","10250","14849","-"
"308","TRINITY_DN4745_c1_g2_i1","MA_10432580","335","798","+"
"309","TRINITY_DN4846_c1_g3_i1","MA_10359231","3","489","-"
"310","TRINITY_DN4870_c0_g1_i6","MA_182812|MA_2904","4040|10110","4536|10683","+|-"
"311","TRINITY_DN4812_c0_g1_i2","MA_34210","10220","11236","-"
"312","TRINITY_DN4966_c0_g1_i4","MA_10430417|MA_10430417","13712|13853","15003|13969","-|-"
"313","TRINITY_DN4966_c0_g1_i2","MA_10430417|MA_10430417","13852|13853","15180|13974","-|-"
"314","TRINITY_DN4976_c2_g3_i1","MA_108616","4","411","-"
"315","TRINITY_DN4975_c6_g1_i1","MA_1877","183","1494","+"
"316","TRINITY_DN5009_c1_g1_i3","MA_118815","10555","11990","-"
"317","TRINITY_DN5009_c1_g1_i2","MA_118815","10555","11990","-"
"318","TRINITY_DN5009_c0_g2_i1","MA_2703","26672","27961","+"
"319","TRINITY_DN5084_c0_g1_i2","MA_17692","54964","55956","-"
"320","TRINITY_DN5035_c0_g1_i2","MA_91228","7446","8887","+"
"321","TRINITY_DN5035_c0_g1_i13","MA_91228","7446","8887","+"
"322","TRINITY_DN5087_c0_g1_i1","MA_10434504","31133","31750","-"
"323","TRINITY_DN5087_c0_g1_i2","MA_10434504|MA_10434504","31133|31203","31331|31750","-|-"
"324","TRINITY_DN5087_c0_g1_i3","MA_10434504","31133","31750","-"
