TF_ID	Gene_ID	Family
MA_10430819g0010	MA_10430819g0010	bZIP
MA_10430831g0010	MA_10430831g0010	GRAS
MA_10431132g0020	MA_10431132g0020	GRAS
MA_10431176g0010	MA_10431176g0010	bHLH
MA_10431189g0020	MA_10431189g0020	NAC
MA_10431722g0010	MA_10431722g0010	bHLH
MA_10431762g0010	MA_10431762g0010	bZIP
MA_10431811g0010	MA_10431811g0010	bHLH
MA_10431997g0010	MA_10431997g0010	NAC
MA_10432060g0010	MA_10432060g0010	bHLH
MA_10432093g0010	MA_10432093g0010	GRAS
MA_10432269g0010	MA_10432269g0010	HSF
MA_10432332g0010	MA_10432332g0010	YABBY
MA_10432362g0010	MA_10432362g0010	WRKY
MA_10432914g0010	MA_10432914g0010	WRKY
MA_10432919g0010	MA_10432919g0010	bHLH
MA_10433095g0010	MA_10433095g0010	NAC
MA_10433116g0010	MA_10433116g0010	NF-X1
MA_10433418g0010	MA_10433418g0010	bHLH
MA_10433428g0010	MA_10433428g0010	bHLH
MA_10433499g0020	MA_10433499g0020	Trihelix
MA_10433986g0020	MA_10433986g0020	bZIP
MA_10434139g0010	MA_10434139g0010	NAC
MA_10434193g0010	MA_10434193g0010	LBD
MA_10434213g0010	MA_10434213g0010	LBD
MA_10434250g0010	MA_10434250g0010	NAC
MA_10434450g0010	MA_10434450g0010	WRKY
MA_10434651g0010	MA_10434651g0010	WRKY
MA_10434782g0020	MA_10434782g0020	LBD
MA_10434815g0010	MA_10434815g0010	GATA
MA_10434976g0010	MA_10434976g0010	WRKY
MA_10435070g0010	MA_10435070g0010	NF-YA
MA_10435231g0010	MA_10435231g0010	bHLH
MA_10435365g0020	MA_10435365g0020	bHLH
MA_10435426g0010	MA_10435426g0010	SBP
MA_10435549g0020	MA_10435549g0020	GRAS
MA_10435549g0050	MA_10435549g0050	GRAS
MA_10435554g0020	MA_10435554g0020	bZIP
MA_10435654g0010	MA_10435654g0010	NAC
MA_10435735g0010	MA_10435735g0010	Dof
MA_10435790g0010	MA_10435790g0010	GRAS
MA_10435905g0020	MA_10435905g0020	bHLH
MA_10436047g0010	MA_10436047g0010	GATA
MA_10436051g0010	MA_10436051g0010	WRKY
MA_10436090g0020	MA_10436090g0020	NF-YA
MA_10436183g0010	MA_10436183g0010	bHLH
MA_10436384g0010	MA_10436384g0010	Nin-like
MA_10436704g0010	MA_10436704g0010	Trihelix
MA_10436931g0040	MA_10436931g0040	WRKY
MA_10436933g0030	MA_10436933g0030	Dof
MA_10437041g0010	MA_10437041g0010	NAC
MA_10437259g0030	MA_10437259g0030	Trihelix
MA_105743g0010	MA_105743g0010	bZIP
MA_1076042g0020	MA_1076042g0020	NF-YA
MA_107950g0010	MA_107950g0010	WRKY
MA_108198g0010	MA_108198g0010	LFY
MA_10844g0010	MA_10844g0010	VOZ
MA_109104g0010	MA_109104g0010	WRKY
MA_109677g0010	MA_109677g0010	NAC
MA_110105g0020	MA_110105g0020	bZIP
MA_110122g0010	MA_110122g0010	bHLH
MA_11029g0010	MA_11029g0010	NF-YC
MA_110551g0010	MA_110551g0010	GATA
MA_110587g0010	MA_110587g0010	HSF
MA_1118275g0010	MA_1118275g0010	GRAS
MA_112054g0010	MA_112054g0010	NAC
MA_112273g0010	MA_112273g0010	YABBY
MA_1125897g0010	MA_1125897g0010	GRAS
MA_112632g0010	MA_112632g0010	NF-YA
MA_11285g0020	MA_11285g0020	LBD
MA_1130033g0010	MA_1130033g0010	GRAS
MA_113047g0010	MA_113047g0010	Trihelix
MA_113501g0010	MA_113501g0010	LBD
MA_113508g0010	MA_113508g0010	HSF
MA_114573g0010	MA_114573g0010	bHLH
MA_11492g0010	MA_11492g0010	WRKY
MA_11527g0010	MA_11527g0010	HSF
MA_11552g0010	MA_11552g0010	Trihelix
MA_115810g0010	MA_115810g0010	BBR-BPC
MA_11699g0010	MA_11699g0010	LBD
MA_11814g0010	MA_11814g0010	BES1
MA_11847g0020	MA_11847g0020	bZIP
MA_11879g0010	MA_11879g0010	NAC
MA_120602g0010	MA_120602g0010	bHLH
MA_120697g0010	MA_120697g0010	WRKY
MA_120821g0010	MA_120821g0010	GATA
MA_120969g0010	MA_120969g0010	WRKY
MA_121950g0010	MA_121950g0010	bHLH
MA_1220g0010	MA_1220g0010	bHLH
MA_122255g0010	MA_122255g0010	Trihelix
MA_122595g0010	MA_122595g0010	LBD
MA_122815g0010	MA_122815g0010	NAC
MA_12314g0010	MA_12314g0010	ZF-HD
MA_12356g0020	MA_12356g0020	ZF-HD
MA_123810g0010	MA_123810g0010	Dof
MA_123846g0010	MA_123846g0010	NAC
MA_124797g0010	MA_124797g0010	WRKY
MA_125022g0010	MA_125022g0010	NAC
MA_126261g0010	MA_126261g0010	bHLH
MA_126263g0010	MA_126263g0010	bHLH
MA_126273g0010	MA_126273g0010	WRKY
MA_126761g0010	MA_126761g0010	LBD
MA_127139g0010	MA_127139g0010	LBD
MA_127542g0020	MA_127542g0020	bZIP
MA_12784g0010	MA_12784g0010	TCP
MA_12808g0010	MA_12808g0010	HSF
MA_13024g0010	MA_13024g0010	LBD
MA_130776g0010	MA_130776g0010	bHLH
MA_130907g0010	MA_130907g0010	bZIP
MA_13142g0010	MA_13142g0010	E2F/DP
MA_131805g0010	MA_131805g0010	LBD
MA_132247g0010	MA_132247g0010	bZIP
MA_132680g0010	MA_132680g0010	bHLH
MA_132897g0010	MA_132897g0010	EIL
MA_133946g0010	MA_133946g0010	Trihelix
MA_134559g0010	MA_134559g0010	WRKY
MA_136551g0010	MA_136551g0010	WRKY
MA_13676g0010	MA_13676g0010	bHLH
MA_137415g0010	MA_137415g0010	NAC
MA_138256g0010	MA_138256g0010	WRKY
MA_138461g0010	MA_138461g0010	NAC
MA_13910g0010	MA_13910g0010	HSF
MA_139559g0010	MA_139559g0010	bZIP
MA_140003g0010	MA_140003g0010	GRAS
MA_141469g0010	MA_141469g0010	bHLH
MA_142711g0010	MA_142711g0010	bZIP
MA_144114g0010	MA_144114g0010	ZF-HD
MA_14480g0020	MA_14480g0020	WRKY
MA_14544g0010	MA_14544g0010	bHLH
MA_147745g0020	MA_147745g0020	ZF-HD
MA_14798g0010	MA_14798g0010	NF-YC
MA_148495g0010	MA_148495g0010	bHLH
MA_148785g0010	MA_148785g0010	bHLH
MA_15013g0020	MA_15013g0020	NF-YC
MA_15044g0020	MA_15044g0020	NAC
MA_151462g0010	MA_151462g0010	NF-YB
MA_15204g0010	MA_15204g0010	NAC
MA_152275g0010	MA_152275g0010	NF-YB
MA_15254g0010	MA_15254g0010	TCP
MA_155093g0010	MA_155093g0010	bHLH
MA_155502g0010	MA_155502g0010	bZIP
MA_156285g0010	MA_156285g0010	bHLH
MA_158362g0010	MA_158362g0010	bHLH
MA_158850g0010	MA_158850g0010	bHLH
MA_15962g0010	MA_15962g0010	bHLH
MA_16118g0010	MA_16118g0010	WRKY
MA_161258g0010	MA_161258g0010	GATA
MA_161426g0010	MA_161426g0010	WRKY
MA_161608g0010	MA_161608g0010	LBD
MA_161658g0010	MA_161658g0010	bZIP
MA_162339g0010	MA_162339g0010	bZIP
MA_164507g0010	MA_164507g0010	NF-YC
MA_16454g0010	MA_16454g0010	bHLH
MA_164577g0010	MA_164577g0010	NAC
MA_164675g0010	MA_164675g0010	WRKY
MA_16489g0010	MA_16489g0010	bHLH
MA_16595g0010	MA_16595g0010	NAC
MA_16619g0010	MA_16619g0010	NAC
MA_16619g0020	MA_16619g0020	NAC
MA_166366g0010	MA_166366g0010	NAC
MA_16692g0010	MA_16692g0010	Dof
MA_16704g0010	MA_16704g0010	TCP
MA_16728g0010	MA_16728g0010	Trihelix
MA_16752g0010	MA_16752g0010	TCP
MA_168035g0010	MA_168035g0010	NF-YB
MA_16891g0010	MA_16891g0010	LBD
MA_16891g0020	MA_16891g0020	LBD
MA_170065g0010	MA_170065g0010	bZIP
MA_170369g0010	MA_170369g0010	LBD
MA_170661g0010	MA_170661g0010	LBD
MA_171206g0010	MA_171206g0010	ZF-HD
MA_171937g0010	MA_171937g0010	NF-YA
MA_172474g0010	MA_172474g0010	GeBP
MA_17313g0010	MA_17313g0010	NF-YA
MA_173384g0010	MA_173384g0010	NAC
MA_173815g0010	MA_173815g0010	ZF-HD
MA_174370g0020	MA_174370g0020	Trihelix
MA_175298g0010	MA_175298g0010	Dof
MA_175506g0010	MA_175506g0010	NF-YA
MA_175750g0010	MA_175750g0010	WRKY
MA_17614g0010	MA_17614g0010	Dof
MA_17689g0010	MA_17689g0010	bHLH
MA_178280g0020	MA_178280g0020	bHLH
MA_178860g0010	MA_178860g0010	bHLH
MA_1793g0010	MA_1793g0010	GRAS
MA_179641g0010	MA_179641g0010	WRKY
MA_18042g0010	MA_18042g0010	bHLH
MA_18107g0010	MA_18107g0010	bZIP
MA_18153g0010	MA_18153g0010	NAC
MA_18234g0010	MA_18234g0010	GRAS
MA_182489g0010	MA_182489g0010	HRT-like
MA_18267g0010	MA_18267g0010	Dof
MA_183543g0010	MA_183543g0010	NAC
MA_18616g0010	MA_18616g0010	GATA
MA_18777g0020	MA_18777g0020	bHLH
MA_18800g0020	MA_18800g0020	bHLH
MA_18871g0020	MA_18871g0020	Trihelix
MA_18939g0010	MA_18939g0010	NAC
MA_18958g0010	MA_18958g0010	NAC
MA_18975g0010	MA_18975g0010	NAC
MA_19310g0010	MA_19310g0010	GRAS
MA_19488g0020	MA_19488g0020	NAC
MA_1948g0010	MA_1948g0010	NAC
MA_19523g0010	MA_19523g0010	NF-YC
MA_19536g0010	MA_19536g0010	bZIP
MA_195595g0010	MA_195595g0010	BES1
MA_19573g0010	MA_19573g0010	NAC
MA_196213g0010	MA_196213g0010	bHLH
MA_19630g0030	MA_19630g0030	ZF-HD
MA_19634g0010	MA_19634g0010	bZIP
MA_196775g0010	MA_196775g0010	bHLH
MA_19757g0010	MA_19757g0010	bZIP
MA_19934g0010	MA_19934g0010	LBD
MA_19975g0010	MA_19975g0010	LBD
MA_203641g0010	MA_203641g0010	GeBP
MA_204471g0010	MA_204471g0010	NAC
MA_20452g0010	MA_20452g0010	bHLH
MA_20468g0010	MA_20468g0010	WRKY
MA_20516g0010	MA_20516g0010	EIL
MA_20537g0010	MA_20537g0010	SBP
MA_20585g0010	MA_20585g0010	bHLH
MA_20596g0010	MA_20596g0010	GATA
MA_20603g0010	MA_20603g0010	Trihelix
MA_20925g0010	MA_20925g0010	Nin-like
MA_2101g0010	MA_2101g0010	TCP
MA_212937g0010	MA_212937g0010	WRKY
MA_213558g0010	MA_213558g0010	bHLH
MA_214240g0010	MA_214240g0010	bHLH
MA_221221g0010	MA_221221g0010	bHLH
MA_223267g0010	MA_223267g0010	LBD
MA_2285g0010	MA_2285g0010	ZF-HD
MA_2290g0010	MA_2290g0010	WRKY
MA_2299g0010	MA_2299g0010	SRS
MA_232394g0010	MA_232394g0010	GeBP
MA_23415g0010	MA_23415g0010	WRKY
MA_234967g0010	MA_234967g0010	LBD
MA_239753g0010	MA_239753g0010	bHLH
MA_23986g0010	MA_23986g0010	bZIP
MA_245615g0010	MA_245615g0010	BES1
MA_257886g0010	MA_257886g0010	bHLH
MA_26114g0010	MA_26114g0010	bHLH
MA_264971g0010	MA_264971g0010	NAC
MA_276627g0010	MA_276627g0010	LBD
MA_27968g0010	MA_27968g0010	NAC
MA_2814g0010	MA_2814g0010	E2F/DP
MA_283702g0010	MA_283702g0010	bHLH
MA_28402g0010	MA_28402g0010	bZIP
MA_28638g0010	MA_28638g0010	bHLH
MA_28961g0020	MA_28961g0020	bHLH
MA_290245g0010	MA_290245g0010	LBD
MA_290659g0010	MA_290659g0010	bHLH
MA_29186g0010	MA_29186g0010	bHLH
MA_292200g0010	MA_292200g0010	LBD
MA_293538g0010	MA_293538g0010	bHLH
MA_297507g0010	MA_297507g0010	NF-YB
MA_297827g0010	MA_297827g0010	bZIP
MA_29913g0010	MA_29913g0010	HSF
MA_3040g0010	MA_3040g0010	BES1
MA_30617g0010	MA_30617g0010	bZIP
MA_306658g0010	MA_306658g0010	bHLH
MA_3123g0010	MA_3123g0010	LBD
MA_3123g0020	MA_3123g0020	LBD
MA_317126g0010	MA_317126g0010	bHLH
MA_3179g0020	MA_3179g0020	SBP
MA_321195g0010	MA_321195g0010	bHLH
MA_32594g0010	MA_32594g0010	ZF-HD
MA_32763g0010	MA_32763g0010	NAC
MA_328535g0010	MA_328535g0010	LBD
MA_3313g0010	MA_3313g0010	Trihelix
MA_33471g0010	MA_33471g0010	bZIP
MA_33846g0010	MA_33846g0010	CPP
MA_33912g0010	MA_33912g0010	NAC
MA_339377g0010	MA_339377g0010	ZF-HD
MA_33970g0010	MA_33970g0010	NF-YC
MA_34924g0010	MA_34924g0010	Trihelix
MA_35014g0010	MA_35014g0010	bZIP
MA_35037g0010	MA_35037g0010	LBD
MA_361391g0010	MA_361391g0010	LBD
MA_363763g0010	MA_363763g0010	bHLH
MA_367459g0010	MA_367459g0010	bZIP
MA_36755g0010	MA_36755g0010	ZF-HD
MA_3734g0010	MA_3734g0010	GeBP
MA_37369g0010	MA_37369g0010	TCP
MA_381058g0010	MA_381058g0010	WRKY
MA_381604g0010	MA_381604g0010	NAC
MA_3891g0010	MA_3891g0010	TCP
MA_38931g0010	MA_38931g0010	bZIP
MA_38970g0010	MA_38970g0010	ZF-HD
MA_3940g0010	MA_3940g0010	bHLH
MA_3942g0010	MA_3942g0010	bZIP
MA_39832g0010	MA_39832g0010	LBD
MA_402393g0010	MA_402393g0010	NAC
MA_407206g0010	MA_407206g0010	YABBY
MA_4076g0010	MA_4076g0010	bHLH
MA_40991g0010	MA_40991g0010	NAC
MA_41006g0010	MA_41006g0010	bZIP
MA_41252g0020	MA_41252g0020	HSF
MA_42080g0010	MA_42080g0010	bHLH
MA_426605g0010	MA_426605g0010	WRKY
MA_43386g0010	MA_43386g0010	NF-X1
MA_43733g0010	MA_43733g0010	E2F/DP
MA_4395g0010	MA_4395g0010	bHLH
MA_439607g0010	MA_439607g0010	bHLH
MA_44185g0010	MA_44185g0010	GATA
MA_445236g0010	MA_445236g0010	LBD
MA_44659g0010	MA_44659g0010	CPP
MA_448849g0010	MA_448849g0010	bHLH
MA_451290g0010	MA_451290g0010	LBD
MA_45470g0010	MA_45470g0010	bHLH
MA_45656g0030	MA_45656g0030	GRAS
MA_459791g0010	MA_459791g0010	Dof
MA_46112g0010	MA_46112g0010	bHLH
MA_461761g0010	MA_461761g0010	ZF-HD
MA_464490g0010	MA_464490g0010	NAC
MA_465203g0020	MA_465203g0020	bHLH
MA_46529g0010	MA_46529g0010	WRKY
MA_47307g0010	MA_47307g0010	WRKY
MA_47367g0010	MA_47367g0010	SBP
MA_4766093g0010	MA_4766093g0010	GRAS
MA_476980g0010	MA_476980g0010	bHLH
MA_4774g0010	MA_4774g0010	TCP
MA_4780529g0010	MA_4780529g0010	GeBP
MA_479454g0010	MA_479454g0010	bHLH
MA_47951g0010	MA_47951g0010	Trihelix
MA_47952g0010	MA_47952g0010	LFY
MA_482543g0010	MA_482543g0010	BES1
MA_49315g0010	MA_49315g0010	Trihelix
MA_493516g0010	MA_493516g0010	BES1
MA_496691g0010	MA_496691g0010	WRKY
MA_4997g0010	MA_4997g0010	Trihelix
MA_504223g0010	MA_504223g0010	bHLH
MA_50630g0010	MA_50630g0010	bHLH
MA_5115g0010	MA_5115g0010	NAC
MA_52027g0010	MA_52027g0010	SBP
MA_52085g0010	MA_52085g0010	bHLH
MA_52440g0010	MA_52440g0010	TCP
MA_52474g0010	MA_52474g0010	Dof
MA_52791g0010	MA_52791g0010	NF-YB
MA_52817g0010	MA_52817g0010	EIL
MA_52903g0010	MA_52903g0010	GRAS
MA_52928g0010	MA_52928g0010	WRKY
MA_53004g0010	MA_53004g0010	EIL
MA_53351g0010	MA_53351g0010	WRKY
MA_53545g0010	MA_53545g0010	SRS
MA_5374g0010	MA_5374g0010	HSF
MA_547683g0010	MA_547683g0010	TCP
MA_54954g0010	MA_54954g0010	WRKY
MA_55215g0010	MA_55215g0010	NAC
MA_55357g0010	MA_55357g0010	LBD
MA_55512g0010	MA_55512g0010	LBD
MA_56828g0010	MA_56828g0010	Dof
MA_570300g0010	MA_570300g0010	bHLH
MA_57244g0010	MA_57244g0010	bHLH
MA_57426g0010	MA_57426g0010	ZF-HD
MA_57676g0010	MA_57676g0010	bHLH
MA_5767g0010	MA_5767g0010	ZF-HD
MA_57970g0010	MA_57970g0010	bHLH
MA_5838g0020	MA_5838g0020	bHLH
MA_58867g0010	MA_58867g0010	NAC
MA_59421g0010	MA_59421g0010	bZIP
MA_608139g0010	MA_608139g0010	NF-YA
MA_61242g0010	MA_61242g0010	LBD
MA_616354g0010	MA_616354g0010	bHLH
MA_61649g0010	MA_61649g0010	bZIP
MA_6177g0010	MA_6177g0010	WRKY
MA_63506g0010	MA_63506g0010	bHLH
MA_63523g0010	MA_63523g0010	LBD
MA_635g0010	MA_635g0010	TCP
MA_6407g0010	MA_6407g0010	bZIP
MA_64687g0010	MA_64687g0010	NAC
MA_65782g0010	MA_65782g0010	WRKY
MA_65818g0010	MA_65818g0010	bHLH
MA_66378g0010	MA_66378g0010	bHLH
MA_66501g0010	MA_66501g0010	LBD
MA_66681g0010	MA_66681g0010	bHLH
MA_66734g0010	MA_66734g0010	E2F/DP
MA_66847g0010	MA_66847g0010	NAC
MA_6777g0010	MA_6777g0010	NAC
MA_686524g0010	MA_686524g0010	bHLH
MA_68801g0010	MA_68801g0010	Trihelix
MA_68810g0010	MA_68810g0010	Trihelix
MA_690904g0010	MA_690904g0010	bHLH
MA_69304g0010	MA_69304g0010	ZF-HD
MA_6943842g0010	MA_6943842g0010	WRKY
MA_69506g0010	MA_69506g0010	bHLH
MA_69787g0010	MA_69787g0010	Trihelix
MA_69872g0010	MA_69872g0010	VOZ
MA_709537g0010	MA_709537g0010	Whirly
MA_7129732g0010	MA_7129732g0010	Trihelix
MA_72133g0010	MA_72133g0010	NF-YA
MA_73173g0010	MA_73173g0010	GRAS
MA_733169g0010	MA_733169g0010	bHLH
MA_73369g0010	MA_73369g0010	NAC
MA_734074g0010	MA_734074g0010	LBD
MA_73870g0010	MA_73870g0010	GRAS
MA_73880g0010	MA_73880g0010	GeBP
MA_74014g0010	MA_74014g0010	Dof
MA_7437390g0010	MA_7437390g0010	bHLH
MA_74833g0010	MA_74833g0010	WRKY
MA_74910g0010	MA_74910g0010	Trihelix
MA_7513437g0010	MA_7513437g0010	WRKY
MA_75192g0010	MA_75192g0010	NAC
MA_7537g0010	MA_7537g0010	Dof
MA_75731g0010	MA_75731g0010	LBD
MA_757530g0010	MA_757530g0010	bZIP
MA_76955g0010	MA_76955g0010	bHLH
MA_77200g0010	MA_77200g0010	LBD
MA_7751g0010	MA_7751g0010	bZIP
MA_780487g0010	MA_780487g0010	NAC
MA_7848375g0010	MA_7848375g0010	bHLH
MA_79519g0010	MA_79519g0010	Trihelix
MA_79619g0010	MA_79619g0010	Trihelix
MA_79692g0010	MA_79692g0010	LBD
MA_80122g0010	MA_80122g0010	LBD
MA_802073g0010	MA_802073g0010	NAC
MA_8070803g0010	MA_8070803g0010	NAC
MA_8171097g0010	MA_8171097g0010	CPP
MA_81710g0010	MA_81710g0010	TCP
MA_8183g0010	MA_8183g0010	bHLH
MA_82060g0010	MA_82060g0010	SAP
MA_8215969g0010	MA_8215969g0010	Trihelix
MA_8255g0010	MA_8255g0010	bHLH
MA_82688g0010	MA_82688g0010	bHLH
MA_8343g0010	MA_8343g0010	BES1
MA_83624g0010	MA_83624g0010	Dof
MA_84752g0010	MA_84752g0010	LBD
MA_85210g0010	MA_85210g0010	NAC
MA_8533126g0010	MA_8533126g0010	NAC
MA_85817g0010	MA_85817g0010	LBD
MA_85817g0020	MA_85817g0020	LBD
MA_86256g0010	MA_86256g0010	NAC
MA_86300g0010	MA_86300g0010	LBD
MA_8756989g0010	MA_8756989g0010	NF-YC
MA_8812600g0010	MA_8812600g0010	HSF
MA_88419g0010	MA_88419g0010	WRKY
MA_8845456g0010	MA_8845456g0010	HSF
MA_8854574g0010	MA_8854574g0010	LBD
MA_88711g0010	MA_88711g0010	LBD
MA_88831g0010	MA_88831g0010	bHLH
MA_8893g0010	MA_8893g0010	NAC
MA_89233g0010	MA_89233g0010	Whirly
MA_8980g0010	MA_8980g0010	NAC
MA_8992661g0010	MA_8992661g0010	HSF
MA_902082g0010	MA_902082g0010	LBD
MA_90272g0010	MA_90272g0010	bHLH
MA_903853g0010	MA_903853g0010	NF-YB
MA_905082g0010	MA_905082g0010	Trihelix
MA_9115341g0010	MA_9115341g0010	bHLH
MA_9119217g0010	MA_9119217g0010	bHLH
MA_91212g0010	MA_91212g0010	ZF-HD
MA_9135269g0010	MA_9135269g0010	LBD
MA_91369g0010	MA_91369g0010	LBD
MA_91466g0010	MA_91466g0010	HSF
MA_91468g0010	MA_91468g0010	WRKY
MA_91576g0010	MA_91576g0010	bZIP
MA_917739g0010	MA_917739g0010	bHLH
MA_9207013g0020	MA_9207013g0020	bHLH
MA_92168g0010	MA_92168g0010	bHLH
MA_92489g0010	MA_92489g0010	SBP
MA_927067g0010	MA_927067g0010	LBD
MA_93117g0010	MA_93117g0010	TCP
MA_934202g0010	MA_934202g0010	WRKY
MA_934266g0010	MA_934266g0010	Trihelix
MA_93552g0020	MA_93552g0020	SAP
MA_93736g0010	MA_93736g0010	bHLH
MA_93790g0010	MA_93790g0010	WRKY
MA_939289g0010	MA_939289g0010	Dof
MA_9399348g0010	MA_9399348g0010	bZIP
MA_9412105g0010	MA_9412105g0010	LBD
MA_94287g0010	MA_94287g0010	GRAS
MA_9434330g0010	MA_9434330g0010	HSF
MA_94412g0010	MA_94412g0010	GeBP
MA_944867g0010	MA_944867g0010	Dof
MA_95225g0010	MA_95225g0010	NAC
MA_95754g0010	MA_95754g0010	S1Fa-like
MA_95898g0010	MA_95898g0010	NAC
MA_959414g0010	MA_959414g0010	GRAS
MA_96029g0010	MA_96029g0010	GRAS
MA_960494g0010	MA_960494g0010	bZIP
MA_962403g0010	MA_962403g0010	LBD
MA_96585g0010	MA_96585g0010	bHLH
MA_96671g0010	MA_96671g0010	bHLH
MA_96911g0010	MA_96911g0010	NF-YB
MA_97259g0020	MA_97259g0020	Dof
MA_97411g0010	MA_97411g0010	LBD
MA_97786g0010	MA_97786g0010	bHLH
MA_98008g0010	MA_98008g0010	NAC
MA_98243g0010	MA_98243g0010	Trihelix
MA_9826431g0010	MA_9826431g0010	GRAS
MA_9839150g0010	MA_9839150g0010	LBD
MA_98483g0010	MA_98483g0010	NAC
MA_9896333g0010	MA_9896333g0010	GRAS
MA_9924708g0010	MA_9924708g0010	LBD
MA_9929143g0010	MA_9929143g0010	NF-YC
MA_9965g0010	MA_9965g0010	BBR-BPC
MA_10431460g0020	MA_10431460g0020	ARF
MA_10432349g0010	MA_10432349g0010	ARF
MA_10432580g0010	MA_10432580g0010	ARF
MA_2237g0020	MA_2237g0020	ARF
MA_2421g0010	MA_2421g0010	ARF
MA_40335g0010	MA_40335g0010	ARF
MA_92651g0010	MA_92651g0010	ARF
MA_98506g0010	MA_98506g0010	ARF
MA_10430070g0010	MA_10430070g0010	B3
MA_10430774g0010	MA_10430774g0010	B3
MA_10431317g0010	MA_10431317g0010	B3
MA_10433064g0010	MA_10433064g0010	B3
MA_10436315g0020	MA_10436315g0020	B3
MA_125845g0010	MA_125845g0010	B3
MA_175090g0010	MA_175090g0010	B3
MA_216909g0010	MA_216909g0010	B3
MA_246350g0010	MA_246350g0010	B3
MA_3834g0010	MA_3834g0010	B3
MA_5748192g0010	MA_5748192g0010	B3
MA_59943g0010	MA_59943g0010	B3
MA_66505g0020	MA_66505g0020	B3
MA_7869355g0010	MA_7869355g0010	B3
MA_10432141g0020	MA_10432141g0020	AP2
MA_121578g0010	MA_121578g0010	AP2
MA_121581g0010	MA_121581g0010	AP2
MA_130948g0020	MA_130948g0020	AP2
MA_2193g0020	MA_2193g0020	AP2
MA_30905g0010	MA_30905g0010	AP2
MA_67041g0010	MA_67041g0010	AP2
MA_8090186g0010	MA_8090186g0010	AP2
MA_86195g0010	MA_86195g0010	AP2
MA_98095g0010	MA_98095g0010	AP2
MA_10434312g0010	MA_10434312g0010	AP2
MA_75070g0010	MA_75070g0010	AP2
MA_10020434g0010	MA_10020434g0010	ERF
MA_10031781g0010	MA_10031781g0010	ERF
MA_100577g0010	MA_100577g0010	ERF
MA_10062104g0010	MA_10062104g0010	ERF
MA_10209922g0010	MA_10209922g0010	ERF
MA_10274g0010	MA_10274g0010	ERF
MA_10343854g0010	MA_10343854g0010	ERF
MA_10370681g0010	MA_10370681g0010	ERF
MA_1037g0020	MA_1037g0020	ERF
MA_10426586g0010	MA_10426586g0010	ERF
MA_10430231g0010	MA_10430231g0010	ERF
MA_10430769g0010	MA_10430769g0010	ERF
MA_10430850g0010	MA_10430850g0010	ERF
MA_10431706g0010	MA_10431706g0010	ERF
MA_10431882g0010	MA_10431882g0010	ERF
MA_10432800g0010	MA_10432800g0010	ERF
MA_10433094g0010	MA_10433094g0010	ERF
MA_10433310g0010	MA_10433310g0010	ERF
MA_10433425g0010	MA_10433425g0010	ERF
