Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_257780g0020;ALWAYS EARLY 3;GO:0006351|GO:0007049|GO:0017053;transcription, DNA-templated|cell cycle|transcriptional repressor complex;Biological Process|Biological Process|Cellular Component;noIPR|IPR033471|noIPR|IPR033471|IPR028306|IPR010561;null|DIRP domain|DIRP domain|DIRP domain|Protein ALWAYS EARLY, plant|Protein LIN-9/Protein ALWAYS EARLY
MA_27422g0020;transcription initiation factor TFIID subunit 2 isoform X2;GO:0000785|GO:0001075|GO:0001129|GO:0003682|GO:0005669|GO:0006508|GO:0008237|GO:0008270|GO:0009506|GO:0043565|GO:0044212|GO:0045944|GO:0051123;chromatin|transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly|RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly|chromatin binding|transcription factor TFIID complex|proteolysis|metallopeptidase activity|zinc ion binding|plasmodesma|sequence-specific DNA binding|transcription regulatory region DNA binding|positive regulation of transcription from RNA polymerase II promoter|RNA polymerase II transcriptional preinitiation complex assembly;Cellular Component|Molecular Function|Molecular Function|Molecular Function|Cellular Component|Biological Process|Molecular Function|Molecular Function|Cellular Component|Molecular Function|Molecular Function|Biological Process|Biological Process;IPR013083|noIPR|IPR011011;Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, FYVE/PHD-type
MA_304675g0010;unknown;NA;NA;NA;IPR036758|IPR007493|noIPR|noIPR|IPR036758;At5g01610-like superfamily|Protein of unknown function DUF538|Protein of unknown function DUF538|Protein of unknown function DUF538|At5g01610-like superfamily
MA_341783g0010;DUF21 domain-containing At2g14520-like;GO:0016021;integral component of membrane;Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null
MA_396691g0010;---NA---;NA;NA;NA;noIPR;null
MA_433817g0010;aceous RNase P chloroplastic mitochondrial;GO:0043231|GO:0044444|GO:0090501;intracellular membrane-bounded organelle|cytoplasmic part|RNA phosphodiester bond hydrolysis;Cellular Component|Cellular Component|Biological Process;IPR031595|noIPR|noIPR|noIPR|noIPR;Protein-only RNase P, C-terminal|Protein-only RNase P, C-terminal|Protein-only RNase P, C-terminal|Protein-only RNase P, C-terminal|Protein-only RNase P, C-terminal
MA_45153g0010;F-box kelch-repeat At1g51550;GO:0005515;protein binding;Molecular Function;noIPR|IPR001810|noIPR|noIPR|IPR036047;null|F-box domain|F-box domain|F-box domain|F-box-like domain superfamily
MA_468697g0010;---NA---;NA;NA;NA;noIPR;null
MA_48965g0010;transcription factor IIIB 90 kDa subunit isoform X1;GO:0000126|GO:0001026|GO:0006355|GO:0006383|GO:0017025|GO:0070897;transcription factor TFIIIB complex|TFIIIB-type transcription factor activity|regulation of transcription, DNA-templated|transcription from RNA polymerase III promoter|TBP-class protein binding|DNA-templated transcriptional preinitiation complex assembly;Cellular Component|Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process;IPR013150|IPR036915|IPR000812|IPR029529|IPR013763|IPR036915;Transcription factor TFIIB, cyclin-like domain|Cyclin-like superfamily|Transcription factor TFIIB|Transcription factor IIIB subunit Brf1|Cyclin-like|Cyclin-like superfamily
MA_59424g0010;FRIGIDA 3;NA;NA;NA;IPR012474|noIPR;Frigida-like|Frigida-like
MA_5978g0010;phenylcoumaran benzylic ether reductase;NA;NA;NA;noIPR|IPR008030|noIPR|noIPR|noIPR|IPR036291|noIPR;null|NmrA-like domain|NmrA-like domain|NmrA-like domain|NmrA-like domain|NAD(P)-binding domain superfamily|NAD(P)-binding domain superfamily
MA_70332g0010;class 3;GO:0016020;membrane;Cellular Component;noIPR|noIPR|noIPR;null|null|null
MA_772986g0010;serine threonine- phosphatase BSL3-like isoform X1;GO:0005515;protein binding;Molecular Function;IPR037293|noIPR|noIPR|noIPR|IPR015915;Galactose oxidase, beta-propeller|Galactose oxidase, beta-propeller|Galactose oxidase, beta-propeller|Galactose oxidase, beta-propeller|Kelch-type beta propeller
MA_8894812g0010;pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1 isoform X1;GO:0003676|GO:0005524|GO:0008026;nucleic acid binding|ATP binding|ATP-dependent helicase activity;Molecular Function|Molecular Function|Molecular Function;noIPR|noIPR;null|null
MA_898819g0010;pentatricopeptide repeat-containing At2g30780;NA;NA;NA;IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR|noIPR;Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat
MA_898994g0010;geranylgeranyl transferase type-2 subunit alpha-like;GO:0005968|GO:0018344;Rab-protein geranylgeranyltransferase complex|protein geranylgeranylation;Cellular Component|Biological Process;noIPR|noIPR|IPR032955|noIPR;null|null|Geranylgeranyl transferase type-2 subunit alpha|Geranylgeranyl transferase type-2 subunit alpha
