Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10432678g0010;unknown;GO:0000166;nucleotide binding;Molecular Function;noIPR;null
MA_10433543g0010;pentatricopeptide repeat-containing mitochondrial-like;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;noIPR|IPR011990|IPR002885|IPR011990|IPR011990|IPR002885|IPR032867|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;null|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_10433784g0010;clavaminate synthase At3g21360;GO:0016491|GO:0055114;oxidoreductase activity|oxidation-reduction process;Molecular Function|Biological Process;IPR003819|noIPR|noIPR|noIPR|noIPR|noIPR;TauD/TfdA-like domain|TauD/TfdA-like domain|TauD/TfdA-like domain|TauD/TfdA-like domain|TauD/TfdA-like domain|TauD/TfdA-like domain
MA_10434590g0010;Alcohol dehydrogenase;GO:0055114;oxidation-reduction process;Biological Process;noIPR|noIPR|IPR013149|noIPR|noIPR|IPR036291|IPR011032;null|null|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|NAD(P)-binding domain superfamily|GroES-like superfamily
MA_10434624g0010;pectinesterase pectinesterase inhibitor U1;GO:0004857|GO:0005618|GO:0005982|GO:0005985|GO:0030599|GO:0042545;enzyme inhibitor activity|cell wall|starch metabolic process|sucrose metabolic process|pectinesterase activity|cell wall modification;Molecular Function|Cellular Component|Biological Process|Biological Process|Molecular Function|Biological Process;IPR006501|IPR006501|IPR012334|IPR000070|IPR006501|IPR035513|noIPR|noIPR|noIPR|IPR035513|IPR011050;Pectinesterase inhibitor domain|Pectinesterase inhibitor domain|Pectin lyase fold|Pectinesterase, catalytic|Pectinesterase inhibitor domain|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Pectin lyase fold/virulence factor
MA_10434741g0010;PREDICTED: uncharacterized protein LOC104592350;GO:0005576|GO:0009505|GO:0009506|GO:0010015|GO:0080167;extracellular region|plant-type cell wall|plasmodesma|root morphogenesis|response to karrikin;Cellular Component|Cellular Component|Cellular Component|Biological Process|Biological Process;IPR006946|IPR008979|IPR008979|noIPR|noIPR|noIPR|noIPR;Domain of unknown function DUF642|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily
MA_10435105g0030;methyltransferase 13;GO:0008152|GO:0008168;metabolic process|methyltransferase activity;Biological Process|Molecular Function;noIPR|noIPR|noIPR|IPR013216|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR029063;null|null|null|Methyltransferase type 11|Methyltransferase type 11|Methyltransferase type 11|Methyltransferase type 11|Methyltransferase type 11|Methyltransferase type 11|Methyltransferase type 11|S-adenosyl-L-methionine-dependent methyltransferase
MA_10435131g0010;RNA-dependent RNA polymerase 6;GO:0003968|GO:0006144|GO:0031379;RNA-directed 5'-3' RNA polymerase activity|purine nucleobase metabolic process|RNA-directed RNA polymerase complex;Molecular Function|Biological Process|Cellular Component;IPR007855|IPR007855|noIPR;RNA-dependent RNA polymerase, eukaryotic-type|RNA-dependent RNA polymerase, eukaryotic-type|RNA-dependent RNA polymerase, eukaryotic-type
MA_10435438g0020;(+)-3-carene synthase;GO:0009536|GO:0010333|GO:0043693|GO:0046872|GO:0071395;plastid|terpene synthase activity|monoterpene biosynthetic process|metal ion binding|cellular response to jasmonic acid stimulus;Cellular Component|Molecular Function|Biological Process|Molecular Function|Biological Process;noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null
MA_10435561g0030;pentatricopeptide repeat-containing At2g13600;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR002885|noIPR|IPR032867|IPR002885|IPR002885|IPR011990|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|noIPR;Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_10436829g0020;lactosylceramide 4-alpha-galactosyltransferase-like;GO:0016020;membrane;Cellular Component;IPR007652|IPR007577|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR029044|noIPR;Alpha 1,4-glycosyltransferase domain|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Nucleotide-diphospho-sugar transferases|Nucleotide-diphospho-sugar transferases
MA_10437011g0010;2-alkenal reductase (NADP(+)-dependent)-like;GO:0055114;oxidation-reduction process;Biological Process;noIPR|IPR013149|noIPR|noIPR|noIPR|noIPR|IPR011032|IPR036291;null|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|GroES-like superfamily|NAD(P)-binding domain superfamily
MA_10437238g0010;PIR isoform X2;NA;NA;NA;IPR008081|IPR008081|IPR008081|noIPR;Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting
MA_111876g0010;pentatricopeptide repeat-containing At4g02750;GO:0005515;protein binding;Molecular Function;IPR011990|IPR002885|IPR011990|IPR011990|IPR002885|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990;Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_11282g0010;fidgetin 1;NA;NA;NA;noIPR|noIPR;null|null
MA_114242g0010;pentatricopeptide repeat-containing chloroplastic;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR002885|IPR011990|IPR011990|IPR032867|IPR011990|IPR002885|IPR002885|noIPR|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_114565g0020;pentatricopeptide repeat-containing chloroplastic;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;noIPR|IPR002885|noIPR|IPR002885|IPR011990|IPR002885|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;null|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_114722g0010;pentatricopeptide repeat-containing chloroplastic;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR002885|IPR002885|IPR011990|noIPR|IPR002885|IPR011990|IPR032867|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_11517g0010;pentatricopeptide repeat-containing At4g02750;GO:0005515;protein binding;Molecular Function;IPR002885|IPR011990|IPR011990|noIPR|IPR011990|IPR002885|IPR002885|IPR011990|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR|IPR011990;Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_119519g0010;pentatricopeptide repeat-containing At4g37170;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR002885|IPR002885|IPR032867|noIPR|IPR011990|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR|IPR011990;Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_119796g0020;hydroxyacylglutathione hydrolase mitochondrial;GO:0004416|GO:0006090|GO:0019243;hydroxyacylglutathione hydrolase activity|pyruvate metabolic process|methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione;Molecular Function|Biological Process|Biological Process;IPR032282|IPR036866|noIPR|noIPR|IPR036866;Hydroxyacylglutathione hydrolase, C-terminal domain|Metallo-hydrolase/oxidoreductase superfamily|Metallo-hydrolase/oxidoreductase superfamily|Metallo-hydrolase/oxidoreductase superfamily|Metallo-hydrolase/oxidoreductase superfamily
MA_12023g0010;pentatricopeptide repeat-containing At4g02750;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR011990|IPR032867|IPR002885|IPR011990|IPR011990|noIPR|IPR011990|IPR002885|IPR011990|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990;Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_121102g0010;pentatricopeptide repeat-containing At5g04780-like;GO:0005515|GO:0008270;protein binding|zinc ion binding;Molecular Function|Molecular Function;IPR002885|IPR011990|noIPR|IPR011990|IPR002885|IPR002885|IPR002885|IPR011990|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
