Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10430758g0010;expansin B1;GO:0005576;extracellular region;Cellular Component;IPR007118|IPR036908|IPR036908|IPR009009|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR007112|IPR007112|noIPR|noIPR|noIPR|noIPR|noIPR;Expansin/Lol pI|RlpA-like domain superfamily|RlpA-like domain superfamily|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|RlpA-like protein, double-psi beta-barrel domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain|Expansin/pollen allergen, DPBB domain
MA_10431316g0020;REF SRPP At3g05500;NA;NA;NA;IPR008802|noIPR|IPR008802|noIPR|noIPR|noIPR;Rubber elongation factor|Rubber elongation factor|Rubber elongation factor|Rubber elongation factor|Rubber elongation factor|Rubber elongation factor
MA_10431450g0010;sucrose transport SUC4-like;GO:0005887|GO:0007064|GO:0008515|GO:0015770|GO:0031390;integral component of plasma membrane|mitotic sister chromatid cohesion|sucrose transmembrane transporter activity|sucrose transport|Ctf18 RFC-like complex;Cellular Component|Biological Process|Molecular Function|Biological Process|Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|Major facilitator superfamily domain|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily
MA_10432509g0010;transcription initiation factor IIB;GO:0006355|GO:0017025|GO:0070897;regulation of transcription, DNA-templated|TBP-class protein binding|DNA-templated transcriptional preinitiation complex assembly;Biological Process|Molecular Function|Biological Process;IPR000812|IPR013763|noIPR|IPR013137|IPR013150|IPR036915|IPR036915|IPR000812|noIPR|IPR023486|IPR013137|IPR013763|IPR013763|IPR036915|noIPR|IPR036915;Transcription factor TFIIB|Cyclin-like|Cyclin-like|Zinc finger, TFIIB-type|Transcription factor TFIIB, cyclin-like domain|Cyclin-like superfamily|Cyclin-like superfamily|Transcription factor TFIIB|Transcription factor TFIIB|Transcription factor TFIIB, conserved site|Zinc finger, TFIIB-type|Cyclin-like|Cyclin-like|Cyclin-like superfamily|Cyclin-like superfamily|Cyclin-like superfamily
MA_10433410g0010;vacuolar fusion CCZ1 homolog B isoform X1;NA;NA;NA;NA;NA
MA_10435062g0010;phospholipid:diacylglycerol acyltransferase 1-like;GO:0006629|GO:0008374|GO:0042967;lipid metabolic process|O-acyltransferase activity|acyl-carrier-protein biosynthetic process;Biological Process|Molecular Function|Biological Process;IPR029058|IPR003386|noIPR|noIPR|noIPR;Alpha/Beta hydrolase fold|Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase|Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase|Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase|Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
MA_10435851g0010;hypothetical protein POPTR_0010s23920g;NA;NA;NA;IPR012347|IPR007402|noIPR|noIPR|noIPR|IPR009078;Ferritin-like|Protein of unknown function DUF455|Protein of unknown function DUF455|Protein of unknown function DUF455|Protein of unknown function DUF455|Ferritin-like superfamily
MA_113094g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_124719g0010;---NA---;NA;NA;NA;noIPR;null
MA_136565g0010;unknown;NA;NA;NA;NA;NA
MA_14810g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_166600g0010;6-phosphogluconate decarboxylating chloroplastic;GO:0004616|GO:0006098|GO:0019521|GO:0055114;phosphogluconate dehydrogenase (decarboxylating) activity|pentose-phosphate shunt|D-gluconate metabolic process|oxidation-reduction process;Molecular Function|Biological Process|Biological Process|Biological Process;IPR006183|IPR006114|noIPR|noIPR|IPR006113|IPR013328|IPR006113|IPR006114|IPR006115|noIPR|noIPR|IPR036291|IPR008927;6-phosphogluconate dehydrogenase|6-phosphogluconate dehydrogenase, C-terminal|6-phosphogluconate dehydrogenase, C-terminal|6-phosphogluconate dehydrogenase, C-terminal|6-phosphogluconate dehydrogenase, decarboxylating|6-phosphogluconate dehydrogenase, domain 2|6-phosphogluconate dehydrogenase, decarboxylating|6-phosphogluconate dehydrogenase, C-terminal|6-phosphogluconate dehydrogenase, NADP-binding|6-phosphogluconate dehydrogenase, NADP-binding|6-phosphogluconate dehydrogenase, NADP-binding|NAD(P)-binding domain superfamily|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
MA_18776g0010;---NA---;NA;NA;NA;noIPR|noIPR;null|null
MA_197119g0010;cell division homolog 2- chloroplastic-like;GO:0000166;nucleotide binding;Molecular Function;NA;NA
MA_217871g0010;legumin-like storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006044|IPR006045|IPR006045|IPR014710|noIPR|noIPR|IPR011051;11-S seed storage protein, plant|Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_254136g0010;RADIALIS-like 3;GO:0003677;DNA binding;Molecular Function;IPR001005|noIPR|IPR001005|noIPR|noIPR|noIPR|IPR017884|IPR001005|IPR009057;SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT/Myb domain|SANT domain|SANT/Myb domain|Homeobox-like domain superfamily
MA_262677g0010;sucrose-binding -like;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR006045|IPR014710|noIPR|noIPR|IPR011051;Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_2868651g0010;Major pollen allergen Lol pI;GO:0005576|GO:0006949|GO:0009506|GO:0016021|GO:0019953;extracellular region|syncytium formation|plasmodesma|integral component of membrane|sexual reproduction;Cellular Component|Biological Process|Cellular Component|Cellular Component|Biological Process;NA;NA
MA_28880g0010;legumin A-like;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR014710|noIPR|noIPR|noIPR|IPR011051;Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_28880g0020;Cupin_1 domain-containing;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006044|IPR006045|IPR014710|IPR006045|noIPR|noIPR|IPR011051;11-S seed storage protein, plant|Cupin 1|RmlC-like jelly roll fold|Cupin 1|Cupin 1|Cupin 1|RmlC-like cupin domain superfamily
MA_28937g0020;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_29066g0010;legumin-like storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR006045|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR;Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily
MA_338838g0010;2S seed storage precursor;NA;NA;NA;IPR016140|noIPR|noIPR|IPR036312;Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily
MA_361914g0010;BnaC05g40190D;NA;NA;NA;NA;NA
MA_411073g0010;methyl- -binding domain-containing 5;GO:0003677|GO:0005634;DNA binding|nucleus;Molecular Function|Cellular Component;IPR001739|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001739|IPR016177;Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|Methyl-CpG DNA binding|DNA-binding domain superfamily
MA_4439170g0010;calcium-dependent phosphotriesterase superfamily;GO:0016020;membrane;Cellular Component;noIPR|noIPR;null|null
MA_467865g0010;Aquaporin TIP2-1;GO:0005215|GO:0006810|GO:0016020;transporter activity|transport|membrane;Molecular Function|Biological Process|Cellular Component;IPR000425|IPR000425|IPR023271|IPR000425|noIPR|IPR034294|IPR022357|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000425|IPR023271|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Major intrinsic protein|Major intrinsic protein|Aquaporin-like|Major intrinsic protein|Major intrinsic protein|Aquaporin transporter|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein, conserved site|Major intrinsic protein|Aquaporin-like|Aquaporin-like|Aquaporin-like|Aquaporin-like|Aquaporin-like|Aquaporin-like|Aquaporin-like
MA_477187g0010;legumin-like storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR006045|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR;Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily
MA_491683g0010;---NA---;NA;NA;NA;noIPR;null
MA_53533g0010;subfamily B member 12;NA;NA;NA;IPR024593|noIPR|noIPR;Domain of unknown function DUF3444|Domain of unknown function DUF3444|Domain of unknown function DUF3444
MA_53678g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_57395g0010;malate;GO:0016491|GO:0055114;oxidoreductase activity|oxidation-reduction process;Molecular Function|Biological Process;IPR001236|noIPR|noIPR|noIPR|IPR036291;Lactate/malate dehydrogenase, N-terminal|Lactate/malate dehydrogenase, N-terminal|Lactate/malate dehydrogenase, N-terminal|Lactate/malate dehydrogenase, N-terminal|NAD(P)-binding domain superfamily
MA_57964g0010;scopoletin glucosyltransferase;GO:0008152|GO:0016758;metabolic process|transferase activity, transferring hexosyl groups;Biological Process|Molecular Function;noIPR|IPR002213|noIPR|noIPR|IPR002213|noIPR|noIPR;null|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase
MA_6122032g0010;ABA-responsive LEA;GO:0006950;response to stress;Biological Process;IPR004926|noIPR;Late embryogenesis abundant protein, LEA5-type|Late embryogenesis abundant protein, LEA5-type
MA_67677g0010;11-S seed storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006044|IPR006045|IPR006045|IPR014710|IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR;11-S seed storage protein, plant|Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily
MA_69192g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null
MA_769629g0010;vicilin-like storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR014710|IPR014710|IPR006045|IPR014710|IPR014710|noIPR|noIPR|noIPR|noIPR|IPR011051;RmlC-like jelly roll fold|RmlC-like jelly roll fold|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_7824g0010;legumin-like storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR014710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011051|noIPR;RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily|RmlC-like cupin domain superfamily
MA_7937116g0010;11-S seed storage;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR006045|IPR014710|noIPR|noIPR|noIPR|noIPR|IPR022379|IPR011051;Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|11-S seed storage protein, conserved site|RmlC-like cupin domain superfamily
MA_7937586g0010;cardiolipin synthase (CMP-forming) mitochondrial;GO:0008654|GO:0016021|GO:0016780;phospholipid biosynthetic process|integral component of membrane|phosphotransferase activity, for other substituted phosphate groups;Biological Process|Cellular Component|Molecular Function;NA;NA
MA_8098278g0010;legumin-like storage;NA;NA;NA;IPR014710|noIPR;RmlC-like jelly roll fold|RmlC-like jelly roll fold
MA_82831g0010;sucrose-binding -like;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006045|IPR006045|IPR014710|noIPR|noIPR|IPR011051;Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_829823g0010;NRT1 PTR FAMILY -like;GO:0005215|GO:0006810|GO:0016020;transporter activity|transport|membrane;Molecular Function|Biological Process|Cellular Component;noIPR|noIPR|IPR000109|IPR000109|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Proton-dependent oligopeptide transporter family|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily
MA_8424978g0010;11S globulin subunit beta-like;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006044|IPR014710|noIPR|noIPR|IPR011051;11-S seed storage protein, plant|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
MA_9001218g0010;legumin-like storage;NA;NA;NA;IPR014710|noIPR|noIPR|IPR022379;RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|11-S seed storage protein, conserved site
MA_904606g0010;BTB POZ domain-containing At1g63850-like;NA;NA;NA;noIPR|noIPR|noIPR;null|null|null
MA_9210901g0010;---NA---;NA;NA;NA;NA;NA
MA_9853020g0010;Cupin_1 domain-containing;GO:0045735;nutrient reservoir activity;Molecular Function;IPR006044|IPR006045|IPR006045|IPR014710|noIPR|noIPR|IPR011051;11-S seed storage protein, plant|Cupin 1|Cupin 1|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like jelly roll fold|RmlC-like cupin domain superfamily
