Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10429545g0010;respiratory burst oxidase homolog B;GO:0004601|GO:0005509|GO:0006804|GO:0006979|GO:0016021|GO:0016174|GO:0055114|GO:0098869;peroxidase activity|calcium ion binding|obsolete peroxidase reaction|response to oxidative stress|integral component of membrane|NAD(P)H oxidase activity|oxidation-reduction process|cellular oxidant detoxification;Molecular Function|Molecular Function|Biological Process|Biological Process|Cellular Component|Molecular Function|Biological Process|Biological Process;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011992|noIPR;null|null|null|null|null|null|null|null|EF-hand domain pair|EF-hand domain pair
MA_10429620g0010;tRNA rRNA methyltransferase ( ) family;GO:0003723|GO:0006396|GO:0008173|GO:0009451;RNA binding|RNA processing|RNA methyltransferase activity|RNA modification;Molecular Function|Biological Process|Molecular Function|Biological Process;IPR001537|IPR029026|noIPR|noIPR|IPR029028;tRNA/rRNA methyltransferase, SpoU type|tRNA (guanine-N1-)-methyltransferase, N-terminal|tRNA (guanine-N1-)-methyltransferase, N-terminal|tRNA (guanine-N1-)-methyltransferase, N-terminal|Alpha/beta knot methyltransferases
MA_10429783g0010;glucan endo-1,3-beta-glucosidase 3;GO:0004553|GO:0005975;hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process;Molecular Function|Biological Process;IPR012946|IPR000490|noIPR|IPR012946|noIPR|noIPR|noIPR|noIPR|IPR000490|noIPR|noIPR|noIPR|IPR017853;X8 domain|Glycoside hydrolase family 17|Glycoside hydrolase family 17|X8 domain|X8 domain|X8 domain|X8 domain|X8 domain|Glycoside hydrolase family 17|Glycoside hydrolase family 17|Glycoside hydrolase family 17|Glycoside hydrolase family 17|Glycoside hydrolase superfamily
MA_10430089g0010;pentatricopeptide repeat-containing At5g39710-like;GO:0005515;protein binding;Molecular Function;IPR002885|IPR002885|noIPR|IPR002885|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|noIPR;Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_10431406g0010;mitochondrial inner membrane OXA1;GO:0016021|GO:0051205;integral component of membrane|protein insertion into membrane;Cellular Component|Biological Process;IPR001708|IPR001708|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC|Membrane insertase OXA1/ALB3/YidC
MA_10431486g0010;uncharacterized protein LOC18445089;GO:0005515;protein binding;Molecular Function;IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily
MA_10432971g0010;probable metal-nicotianamine transporter YSL7;GO:0055085;transmembrane transport;Biological Process;IPR004813|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily
MA_10432971g0020;metal-nicotianamine transporter YSL3-like;GO:0055085;transmembrane transport;Biological Process;IPR004813|IPR004813|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily|Oligopeptide transporter, OPT superfamily
MA_10434007g0010;importin beta-like SAD2;GO:0006886|GO:0008536;intracellular protein transport|Ran GTPase binding;Biological Process|Molecular Function;IPR001494|IPR001494|IPR013713|IPR011989|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001494|IPR016024;Importin-beta, N-terminal domain|Importin-beta, N-terminal domain|Exportin/Importin, Cse1-like|Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Importin-beta, N-terminal domain|Armadillo-type fold
MA_10436190g0010;ABC transporter C family member 10-like;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
MA_10436190g0020;ABC transporter C family member 10-like;GO:0005524|GO:0016887;ATP binding|ATPase activity;Molecular Function|Molecular Function;noIPR|IPR003439|noIPR|noIPR|IPR027417;null|ABC transporter-like|ABC transporter-like|ABC transporter-like|P-loop containing nucleoside triphosphate hydrolase
MA_10436190g0030;ABC transporter C family member 10;GO:0005524|GO:0016021|GO:0042626|GO:0055085;ATP binding|integral component of membrane|ATPase activity, coupled to transmembrane movement of substances|transmembrane transport;Molecular Function|Cellular Component|Molecular Function|Biological Process;IPR036640|IPR003439|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417;ABC transporter type 1, transmembrane domain superfamily|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|ABC transporter-like|P-loop containing nucleoside triphosphate hydrolase
MA_10436190g0040;ABC transporter C family member 10-like;GO:0005524|GO:0016021|GO:0042626|GO:0055085;ATP binding|integral component of membrane|ATPase activity, coupled to transmembrane movement of substances|transmembrane transport;Molecular Function|Cellular Component|Molecular Function|Biological Process;IPR003439|IPR036640|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011527|IPR027417|IPR036640;ABC transporter-like|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain superfamily|ABC transporter type 1, transmembrane domain|P-loop containing nucleoside triphosphate hydrolase|ABC transporter type 1, transmembrane domain superfamily
MA_10437056g0010;Phosphotransferase Tpt1;GO:0016021;integral component of membrane;Cellular Component;IPR029044|noIPR|IPR029044;Nucleotide-diphospho-sugar transferases|Nucleotide-diphospho-sugar transferases|Nucleotide-diphospho-sugar transferases
MA_114887g0010;bromodomain-containing DDB_G0278469-like;GO:0016021;integral component of membrane;Cellular Component;IPR008480|IPR025520|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Protein of unknown function DUF761, plant|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408|Domain of unknown function DUF4408
MA_115118g0010;adenylate kinase chloroplastic;GO:0005524|GO:0006139|GO:0019205;ATP binding|nucleobase-containing compound metabolic process|nucleobase-containing compound kinase activity;Molecular Function|Biological Process|Molecular Function;IPR000850|noIPR|noIPR|noIPR|noIPR|IPR000850|IPR027417;Adenylate kinase/UMP-CMP kinase|Adenylate kinase/UMP-CMP kinase|Adenylate kinase/UMP-CMP kinase|Adenylate kinase/UMP-CMP kinase|Adenylate kinase/UMP-CMP kinase|Adenylate kinase/UMP-CMP kinase|P-loop containing nucleoside triphosphate hydrolase
MA_12253g0010;respiratory burst oxidase homolog D-like;GO:0004601|GO:0005509|GO:0006804|GO:0006979|GO:0016020|GO:0050664|GO:0055114;peroxidase activity|calcium ion binding|obsolete peroxidase reaction|response to oxidative stress|membrane|oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor|oxidation-reduction process;Molecular Function|Molecular Function|Biological Process|Biological Process|Cellular Component|Molecular Function|Biological Process;IPR000778|noIPR|IPR013623|noIPR|IPR013130|IPR013112|noIPR|IPR013121|noIPR|noIPR|noIPR|noIPR|IPR018247|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR017927|IPR002048|IPR002048|noIPR|noIPR|IPR017938|IPR011992|noIPR|noIPR|noIPR|noIPR;Cytochrome b245, heavy chain|Cytochrome b245, heavy chain|NADPH oxidase Respiratory burst|NADPH oxidase Respiratory burst|Ferric reductase transmembrane component-like domain|FAD-binding 8|FAD-binding 8|Ferric reductase, NAD binding domain|Ferric reductase, NAD binding domain|Ferric reductase, NAD binding domain|Ferric reductase, NAD binding domain|Ferric reductase, NAD binding domain|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|EF-Hand 1, calcium-binding site|Ferredoxin reductase-type FAD-binding domain|EF-hand domain|EF-hand domain|EF-hand domain|EF-hand domain|Riboflavin synthase-like beta-barrel|EF-hand domain pair|EF-hand domain pair|EF-hand domain pair|EF-hand domain pair|EF-hand domain pair
MA_130946g0010;dirigent pDIR2;GO:0016853;isomerase activity;Molecular Function;IPR034871|IPR004265|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Allene oxide cyclase/dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein
MA_164598g0010;cytochrome P450 12;GO:0005506|GO:0016705|GO:0020037|GO:0055114;iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|heme binding|oxidation-reduction process;Molecular Function|Molecular Function|Molecular Function|Biological Process;IPR002401|IPR036396|IPR036396|IPR001128|noIPR|noIPR|IPR017972|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036396|noIPR;Cytochrome P450, E-class, group I|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450|Cytochrome P450|Cytochrome P450|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450 superfamily|Cytochrome P450 superfamily
MA_166588g0010;GPI-anchor transamidase;GO:0003923|GO:0006508|GO:0008233|GO:0016255|GO:0042765;GPI-anchor transamidase activity|proteolysis|peptidase activity|attachment of GPI anchor to protein|GPI-anchor transamidase complex;Molecular Function|Biological Process|Molecular Function|Biological Process|Cellular Component;IPR001096|IPR001096|noIPR|IPR001096|IPR028361;Peptidase C13, legumain|Peptidase C13, legumain|Peptidase C13, legumain|Peptidase C13, legumain|GPI-anchor transamidase
MA_172452g0010;187-kDa microtubule-associated AIR9 isoform X1;GO:0009524|GO:0009574|GO:0055028;phragmoplast|preprophase band|cortical microtubule;Cellular Component|Cellular Component|Cellular Component;noIPR;null
MA_186354g0020;F-box At5g39250-like;GO:0005515;protein binding;Molecular Function;noIPR|IPR001810|noIPR|noIPR|noIPR|IPR036047;null|F-box domain|F-box domain|F-box domain|F-box domain|F-box-like domain superfamily
MA_19672g0010;Calcium and calcium calmodulin-dependent serine threonine- kinase isoform 1;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011009;null|null|null|null|null|null|null|Protein kinase-like domain superfamily
MA_215550g0010;cyclin-H1-1 isoform X2;GO:0005634|GO:0009628|GO:0016020|GO:0044238|GO:0044260|GO:0050794;nucleus|response to abiotic stimulus|membrane|primary metabolic process|cellular macromolecule metabolic process|regulation of cellular process;Cellular Component|Biological Process|Cellular Component|Biological Process|Biological Process|Biological Process;noIPR|IPR036915;null|Cyclin-like superfamily
MA_222243g0010;L-galactose dehydrogenase;GO:0004353|GO:0005829|GO:0006118|GO:0006525|GO:0006541|GO:0006560|GO:0010349|GO:0019853|GO:0042816|GO:0050235|GO:0055114;glutamate dehydrogenase [NAD(P)+] activity|cytosol|obsolete electron transport|arginine metabolic process|glutamine metabolic process|proline metabolic process|L-galactose dehydrogenase activity|L-ascorbic acid biosynthetic process|vitamin B6 metabolic process|pyridoxal 4-dehydrogenase activity|oxidation-reduction process;Molecular Function|Cellular Component|Biological Process|Biological Process|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process;IPR036812|IPR023210|noIPR|IPR023210|IPR036812;NADP-dependent oxidoreductase domain superfamily|NADP-dependent oxidoreductase domain|NADP-dependent oxidoreductase domain|NADP-dependent oxidoreductase domain|NADP-dependent oxidoreductase domain superfamily
MA_24887g0010;PREDICTED: uncharacterized protein LOC109000480;GO:0005777|GO:0010468;peroxisome|regulation of gene expression;Cellular Component|Biological Process;IPR029060|IPR021139|noIPR|noIPR|IPR024768|noIPR|noIPR;PIN-like domain superfamily|NYN domain, limkain-b1-type|NYN domain, limkain-b1-type|NYN domain, limkain-b1-type|Meiosis regulator and mRNA stability factor 1|Meiosis regulator and mRNA stability factor 1|Meiosis regulator and mRNA stability factor 1
MA_282916g0010;P-loop containing nucleoside triphosphate hydrolases superfamily;GO:0005524|GO:0016301;ATP binding|kinase activity;Molecular Function|Molecular Function;IPR010488|noIPR|noIPR|IPR027417;Zeta toxin domain|Zeta toxin domain|Zeta toxin domain|P-loop containing nucleoside triphosphate hydrolase
MA_287417g0010;U3 small nucleolar RNA-associated 25 isoform X1;GO:0005634;nucleus;Cellular Component;IPR010678|IPR010678;Digestive organ expansion factor, predicted|Digestive organ expansion factor, predicted
MA_29806g0010;pentatricopeptide repeat-containing At1g60770;GO:0005515;protein binding;Molecular Function;noIPR|IPR002885|noIPR|IPR002885|IPR002885|IPR011990|IPR011990|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990;null|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily
MA_31569g0020;shaggy-related kinase epsilon;GO:0004672|GO:0005524|GO:0006468;protein kinase activity|ATP binding|protein phosphorylation;Molecular Function|Molecular Function|Biological Process;IPR000719|IPR000719|noIPR|noIPR|noIPR|noIPR|IPR008271|IPR017441|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000719|noIPR|IPR011009;Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Serine/threonine-protein kinase, active site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase domain|Protein kinase domain|Protein kinase-like domain superfamily
MA_3203075g0010;succinate dehydrogenase subunit mitochondrial;GO:0005749;mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone);Cellular Component;IPR034574;Succinate dehydrogenase subunit 6, mitochondrial
MA_32960g0010;late blight resistance homolog R1B-19;GO:0030001|GO:0046872;metal ion transport|metal ion binding;Biological Process|Molecular Function;IPR006121|noIPR|noIPR|noIPR|noIPR|IPR006121|IPR036163;Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain superfamily
MA_33140g0010;heavy metal-associated isoprenylated plant 39-like;GO:0030001|GO:0046872;metal ion transport|metal ion binding;Biological Process|Molecular Function;IPR006121|noIPR|noIPR|noIPR|noIPR|IPR036163;Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain, HMA|Heavy metal-associated domain superfamily
MA_583636g0010;importin-4 isoform X1;GO:0005488;binding;Molecular Function;IPR011989|noIPR|noIPR|IPR016024;Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Armadillo-type fold
