Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_19229g0010;serine carboxypeptidase-like 20;GO:0004185|GO:0006508;serine-type carboxypeptidase activity|proteolysis;Molecular Function|Biological Process;IPR001563|IPR029058|IPR001563|IPR001563|noIPR|IPR001563|noIPR|IPR018202|IPR033124|IPR029058;Peptidase S10, serine carboxypeptidase|Alpha/Beta hydrolase fold|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Peptidase S10, serine carboxypeptidase|Serine carboxypeptidase, serine active site|Serine carboxypeptidases, histidine active site|Alpha/Beta hydrolase fold
MA_1925779g0010;zinc finger CONSTANS-LIKE 16;GO:0005515;protein binding;Molecular Function;IPR010402|noIPR|noIPR|IPR010402;CCT domain|CCT domain|CCT domain|CCT domain
MA_239561g0010;unknown;NA;NA;NA;noIPR;null
MA_279651g0010;GLUTAMINE DUMPER 5-like;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_409075g0020;---NA---;NA;NA;NA;NA;NA
MA_4232072g0010;cytochrome P450 CYP736A12-like;GO:0005506|GO:0016705|GO:0020037|GO:0055114;iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|heme binding|oxidation-reduction process;Molecular Function|Molecular Function|Molecular Function|Biological Process;IPR002401|IPR001128|IPR036396|noIPR|noIPR|IPR017972|IPR036396;Cytochrome P450, E-class, group I|Cytochrome P450|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450, conserved site|Cytochrome P450 superfamily
MA_468133g0010;receptor kinase At4g00960;GO:0004672|GO:0005524|GO:0006468;protein kinase activity|ATP binding|protein phosphorylation;Molecular Function|Molecular Function|Biological Process;noIPR|noIPR|IPR000719|IPR002902|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000719|IPR002902|IPR002902|IPR011009|noIPR|noIPR;null|null|Protein kinase domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Gnk2-homologous domain|Protein kinase domain|Gnk2-homologous domain|Gnk2-homologous domain|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily|Protein kinase-like domain superfamily
MA_4692557g0010;unknown;GO:0016788;hydrolase activity, acting on ester bonds;Molecular Function;IPR036514|noIPR|noIPR;SGNH hydrolase superfamily|SGNH hydrolase superfamily|SGNH hydrolase superfamily
MA_62309g0010;trigger factor-like;GO:0006457|GO:0015031;protein folding|protein transport;Biological Process|Biological Process;IPR036611|IPR008881|IPR005215|noIPR;Trigger factor ribosome-binding domain superfamily|Trigger factor, ribosome-binding, bacterial|Trigger factor|Trigger factor
MA_625323g0010;Allene oxide synthase;GO:0005506|GO:0016705|GO:0020037|GO:0055114;iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|heme binding|oxidation-reduction process;Molecular Function|Molecular Function|Molecular Function|Biological Process;IPR001128|IPR036396|IPR036396|noIPR|noIPR|IPR036396;Cytochrome P450|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450 superfamily|Cytochrome P450 superfamily
MA_630451g0010;galactan beta-1,4-galactosyltransferase GALS1;GO:0016020;membrane;Cellular Component;IPR008166|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Glycosyltransferase family 92|Glycosyltransferase family 92|Glycosyltransferase family 92|Glycosyltransferase family 92|Glycosyltransferase family 92|Glycosyltransferase family 92|Glycosyltransferase family 92
MA_7565020g0010;UDP-glycosyltransferase 74F2-like;GO:0008152|GO:0016758;metabolic process|transferase activity, transferring hexosyl groups;Biological Process|Molecular Function;noIPR|noIPR|IPR002213|noIPR;null|null|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase
MA_83232g0010;transcription factor RBF1-like;GO:0016021;integral component of membrane;Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null
MA_8998876g0010;allene oxide synthase 3-like;GO:0004497|GO:0005506|GO:0016705|GO:0016829|GO:0020037|GO:0055114;monooxygenase activity|iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|lyase activity|heme binding|oxidation-reduction process;Molecular Function|Molecular Function|Molecular Function|Molecular Function|Molecular Function|Biological Process;noIPR|noIPR;null|null
MA_9266390g0010;probable purine permease 11;GO:0005215|GO:0006810|GO:0016021;transporter activity|transport|integral component of membrane;Molecular Function|Biological Process|Cellular Component;noIPR|IPR030182|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant|Purine permease, plant
MA_93411g0010;SRC2 homolog;NA;NA;NA;IPR035892|IPR000008|noIPR|noIPR|noIPR|noIPR|IPR035892;C2 domain superfamily|C2 domain|C2 domain|C2 domain|C2 domain|C2 domain|C2 domain superfamily
MA_9751563g0010;beta-D-glucosyl crocetin beta-1,6-glucosyltransferase-like;GO:0008152|GO:0016758;metabolic process|transferase activity, transferring hexosyl groups;Biological Process|Molecular Function;noIPR|noIPR|IPR002213|noIPR;null|null|UDP-glucuronosyl/UDP-glucosyltransferase|UDP-glucuronosyl/UDP-glucosyltransferase
