Sequence Name;Sequence Description;Annotation GO ID;Annotation GO Term;Annotation GO Category;InterPro Accession;InterPro Name
MA_10429528g0010;bifunctional dihydrofolate reductase-thymidylate synthase-like isoform X1;GO:0004146|GO:0004799|GO:0006206|GO:0006231|GO:0006545|GO:0006730|GO:0006761|GO:0046656|GO:0055114;dihydrofolate reductase activity|thymidylate synthase activity|pyrimidine nucleobase metabolic process|dTMP biosynthetic process|glycine biosynthetic process|one-carbon metabolic process|dihydrofolate biosynthetic process|folic acid biosynthetic process|oxidation-reduction process;Molecular Function|Molecular Function|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process;IPR000398|IPR000398|IPR012262|IPR024072|IPR001796|IPR036926|IPR023451|noIPR|IPR012262|noIPR|IPR017925|IPR020940|IPR000398|IPR001796|IPR001796|IPR023451|IPR036926|IPR024072;Thymidylate synthase|Thymidylate synthase|Bifunctional dihydrofolate reductase/thymidylate synthase|Dihydrofolate reductase-like domain superfamily|Dihydrofolate reductase domain|Thymidylate synthase/dCMP hydroxymethylase superfamily|Thymidylate synthase/dCMP hydroxymethylase domain|Thymidylate synthase/dCMP hydroxymethylase domain|Bifunctional dihydrofolate reductase/thymidylate synthase|Bifunctional dihydrofolate reductase/thymidylate synthase|Dihydrofolate reductase conserved site|Thymidylate synthase, active site|Thymidylate synthase|Dihydrofolate reductase domain|Dihydrofolate reductase domain|Thymidylate synthase/dCMP hydroxymethylase domain|Thymidylate synthase/dCMP hydroxymethylase superfamily|Dihydrofolate reductase-like domain superfamily
MA_10429603g0010;AP-1 complex subunit mu-2;GO:0006886|GO:0016192|GO:0030131;intracellular protein transport|vesicle-mediated transport|clathrin adaptor complex;Biological Process|Biological Process|Cellular Component;IPR001392|noIPR|noIPR|IPR028565|noIPR|noIPR|IPR018240|IPR028565|noIPR|IPR036168;Clathrin adaptor, mu subunit|Clathrin adaptor, mu subunit|Clathrin adaptor, mu subunit|Mu homology domain|Mu homology domain|Mu homology domain|Clathrin adaptor, mu subunit, conserved site|Mu homology domain|Mu homology domain|AP-2 complex subunit mu, C-terminal superfamily
MA_10429684g0010;hypothetical protein BVC80_441g123;GO:0009570;chloroplast stroma;Cellular Component;noIPR|noIPR;null|null
MA_10429959g0010;actin cytoskeleton-regulatory complex PAN1;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null
MA_10430485g0010;dnaJ homolog subfamily C member 16 isoform X2;NA;NA;NA;NA;NA
MA_10430772g0010;citrate mitochondrial;GO:0046912;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer;Molecular Function;IPR002020|IPR002020|IPR016142|IPR002020|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036969;Citrate synthase|Citrate synthase|Citrate synthase-like, large alpha subdomain|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase superfamily
MA_10430846g0010;---NA---;NA;NA;NA;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10433213g0010;arabinosyltransferase XEG113 isoform X2;GO:0005768|GO:0005802|GO:0006486|GO:0016021|GO:0052325|GO:0052636|GO:0080147;endosome|trans-Golgi network|protein glycosylation|integral component of membrane|cell wall pectin biosynthetic process|arabinosyltransferase activity|root hair cell development;Cellular Component|Cellular Component|Biological Process|Cellular Component|Biological Process|Molecular Function|Biological Process;IPR005069|noIPR|noIPR;Nucleotide-diphospho-sugar transferase|Nucleotide-diphospho-sugar transferase|Nucleotide-diphospho-sugar transferase
MA_10434705g0010;transport Sec24-like At3g07100;GO:0006886|GO:0006888|GO:0008270|GO:0030127;intracellular protein transport|ER to Golgi vesicle-mediated transport|zinc ion binding|COPII vesicle coat;Biological Process|Biological Process|Molecular Function|Cellular Component;IPR006895|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036174|noIPR;Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type|Zinc finger, Sec23/Sec24-type superfamily|Zinc finger, Sec23/Sec24-type superfamily
MA_10435130g0010;tubulin beta-1 chain;GO:0003924|GO:0005200|GO:0005525|GO:0005874|GO:0007017;GTPase activity|structural constituent of cytoskeleton|GTP binding|microtubule|microtubule-based process;Molecular Function|Molecular Function|Molecular Function|Cellular Component|Biological Process;IPR000217|IPR002453|IPR003008|IPR018316|IPR036525|IPR037103|noIPR|noIPR|IPR000217|noIPR|noIPR|noIPR|noIPR|noIPR|IPR008280|IPR036525|noIPR|noIPR;Tubulin|Beta tubulin|Tubulin/FtsZ, GTPase domain|Tubulin/FtsZ, 2-layer sandwich domain|Tubulin/FtsZ, GTPase domain superfamily|Tubulin/FtsZ, C-terminal domain superfamily|Tubulin/FtsZ, C-terminal domain superfamily|Tubulin/FtsZ, C-terminal domain superfamily|Tubulin|Tubulin|Tubulin|Tubulin|Tubulin|Tubulin|Tubulin/FtsZ, C-terminal|Tubulin/FtsZ, GTPase domain superfamily|Tubulin/FtsZ, GTPase domain superfamily|Tubulin/FtsZ, GTPase domain superfamily
MA_10435923g0010;2-alkenal reductase (NADP(+)-dependent)-like;GO:0055114;oxidation-reduction process;Biological Process;noIPR|IPR013149|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036291;null|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|Alcohol dehydrogenase, C-terminal|NAD(P)-binding domain superfamily
MA_10436210g0020;STICHEL;GO:0003887|GO:0005524|GO:0006260|GO:0009360;DNA-directed DNA polymerase activity|ATP binding|DNA replication|DNA polymerase III complex;Molecular Function|Molecular Function|Biological Process|Cellular Component;IPR003593|IPR012763|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417;AAA+ ATPase domain|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|DNA polymerase III, subunit gamma/ tau|P-loop containing nucleoside triphosphate hydrolase
MA_10436275g0010;kinesin KIN-14C;GO:0003777|GO:0005524|GO:0005874|GO:0007018|GO:0008017|GO:0045298;microtubule motor activity|ATP binding|microtubule|microtubule-based movement|microtubule binding|tubulin complex;Molecular Function|Molecular Function|Cellular Component|Biological Process|Molecular Function|Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001752|IPR001752|noIPR|noIPR|IPR001752|IPR036961|noIPR|noIPR|IPR027640|IPR019821|IPR001752|noIPR|IPR027417;null|null|null|null|null|null|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin-like protein|Kinesin motor domain, conserved site|Kinesin motor domain|Kinesin motor domain|P-loop containing nucleoside triphosphate hydrolase
MA_10436382g0010;MON2 homolog isoform X2;NA;NA;NA;IPR032817|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Mon2, C-terminal|Mon2, C-terminal|Mon2, C-terminal|Mon2, C-terminal|Mon2, C-terminal|Mon2, C-terminal|Mon2, C-terminal
MA_10436426g0010;unknown;GO:0016021;integral component of membrane;Cellular Component;IPR008480|noIPR|noIPR;Protein of unknown function DUF761, plant|Protein of unknown function DUF761, plant|Protein of unknown function DUF761, plant
MA_10436437g0010;hypothetical protein;NA;NA;NA;noIPR|noIPR|noIPR|noIPR;null|null|null|null
MA_10436942g0010;citrate mitochondrial;GO:0046912;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer;Molecular Function;IPR002020|IPR016143|IPR002020|IPR002020|noIPR|IPR036969;Citrate synthase|Citrate synthase-like, small alpha subdomain|Citrate synthase|Citrate synthase|Citrate synthase|Citrate synthase superfamily
MA_10437128g0010;WD-40 repeat-containing MSI1;GO:0005515;protein binding;Molecular Function;IPR020472|IPR001680|IPR015943|noIPR|noIPR|IPR001680|noIPR|noIPR|noIPR|IPR019775|IPR019775|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001680|IPR001680|IPR001680|IPR017986|noIPR|noIPR|IPR036322;G-protein beta WD-40 repeat|WD40 repeat|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40 repeat|WD40 repeat|WD40 repeat|WD40 repeat|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat|WD40 repeat|WD40 repeat|WD40-repeat-containing domain|WD40-repeat-containing domain|WD40-repeat-containing domain|WD40-repeat-containing domain superfamily
MA_10437238g0010;PIR isoform X2;NA;NA;NA;IPR008081|IPR008081|IPR008081|noIPR;Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting|Cytoplasmic FMR1-interacting
MA_113816g0010;la-related 1A-like isoform X1;NA;NA;NA;IPR006607|noIPR|noIPR;Protein of unknown function DM15|Protein of unknown function DM15|Protein of unknown function DM15
MA_113838g0010;histone;GO:0000786|GO:0003677|GO:0046982;nucleosome|DNA binding|protein heterodimerization activity;Cellular Component|Molecular Function|Molecular Function;IPR000164|IPR000164|IPR007125|noIPR|noIPR|IPR000164|noIPR|IPR000164|IPR000164|IPR009072;Histone H3/CENP-A|Histone H3/CENP-A|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H3/CENP-A|Histone H3/CENP-A|Histone H3/CENP-A|Histone H3/CENP-A|Histone-fold
MA_11461g0010;rac-like GTP-binding 3;GO:0003924|GO:0005525|GO:0005622|GO:0007264;GTPase activity|GTP binding|intracellular|small GTPase mediated signal transduction;Molecular Function|Molecular Function|Cellular Component|Biological Process;noIPR|noIPR|noIPR|noIPR|noIPR|IPR005225|noIPR|noIPR|IPR001806|noIPR|noIPR|IPR003578|noIPR|IPR027417;null|null|null|null|null|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTP-binding protein domain|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily|Small GTPase superfamily, Rho type|Small GTPase superfamily, Rho type|P-loop containing nucleoside triphosphate hydrolase
MA_127562g0010;uncharacterized protein LOC18445397;GO:0005794|GO:0016020;Golgi apparatus|membrane;Cellular Component|Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null
MA_141666g0010;ubiquitin-like-specific protease ESD4;GO:0006508|GO:0008234;proteolysis|cysteine-type peptidase activity;Biological Process|Molecular Function;noIPR|IPR003653|noIPR|noIPR|IPR003653|noIPR;null|Ulp1 protease family, C-terminal catalytic domain|Ulp1 protease family, C-terminal catalytic domain|Ulp1 protease family, C-terminal catalytic domain|Ulp1 protease family, C-terminal catalytic domain|Ulp1 protease family, C-terminal catalytic domain
MA_14356g0010;ER membrane complex subunit 7 homolog;GO:0001676|GO:0004467|GO:0016021|GO:0030246;long-chain fatty acid metabolic process|long-chain fatty acid-CoA ligase activity|integral component of membrane|carbohydrate binding;Biological Process|Molecular Function|Cellular Component|Molecular Function;IPR019008|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012|Domain of unknown function DUF2012
MA_14986g0010;uncharacterized protein LOC18438225;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null
MA_15491g0010;STICHEL;NA;NA;NA;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null
MA_15892g0020;caffeic acid 3-O-methyltransferase;GO:0008171|GO:0046983;O-methyltransferase activity|protein dimerization activity;Molecular Function|Molecular Function;IPR036388|noIPR|IPR012967|IPR001077|noIPR|noIPR|noIPR|IPR016461|IPR036390|IPR029063;Winged helix-like DNA-binding domain superfamily|Winged helix-like DNA-binding domain superfamily|Plant methyltransferase dimerisation|O-methyltransferase, family 2|O-methyltransferase, family 2|O-methyltransferase, family 2|O-methyltransferase, family 2|O-methyltransferase COMT-type|Winged helix DNA-binding domain superfamily|S-adenosyl-L-methionine-dependent methyltransferase
MA_168804g0010;REVERSION-TO-ETHYLENE SENSITIVITY1;GO:0005783|GO:0005794|GO:0010105|GO:0016021;endoplasmic reticulum|Golgi apparatus|negative regulation of ethylene-activated signaling pathway|integral component of membrane;Cellular Component|Cellular Component|Biological Process|Cellular Component;IPR008496|noIPR|IPR008496|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778|Protein of unknown function DUF778
MA_192976g0010;AP-2 complex subunit sigma;GO:0008565|GO:0015031;protein transporter activity|protein transport;Molecular Function|Biological Process;noIPR|IPR022775|IPR016635|noIPR|IPR011012;null|AP complex, mu/sigma subunit|Adaptor protein complex, sigma subunit|Adaptor protein complex, sigma subunit|Longin-like domain superfamily
MA_208203g0010;kinesin KIN-14C;GO:0003777|GO:0005524|GO:0005874|GO:0007018|GO:0008017|GO:0045298;microtubule motor activity|ATP binding|microtubule|microtubule-based movement|microtubule binding|tubulin complex;Molecular Function|Molecular Function|Cellular Component|Biological Process|Molecular Function|Cellular Component;noIPR|noIPR|noIPR|IPR001752|IPR001752|noIPR|noIPR|IPR001752|IPR036961|noIPR|noIPR|noIPR|IPR027640|IPR019821|IPR001752|IPR027417;null|null|null|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain|Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin-like protein|Kinesin motor domain, conserved site|Kinesin motor domain|P-loop containing nucleoside triphosphate hydrolase
MA_2168g0030;tau class glutathione S-transferase;GO:0005515;protein binding;Molecular Function;noIPR|noIPR|IPR004045|IPR004046|noIPR|noIPR|IPR010987|IPR004045|noIPR|noIPR|IPR036282|IPR036249;null|null|Glutathione S-transferase, N-terminal|Glutathione S-transferase, C-terminal|Glutathione S-transferase, C-terminal|Glutathione S-transferase, C-terminal|Glutathione S-transferase, C-terminal-like|Glutathione S-transferase, N-terminal|Glutathione S-transferase, N-terminal|Glutathione S-transferase, N-terminal|Glutathione S-transferase, C-terminal domain superfamily|Thioredoxin-like superfamily
MA_25199g0020;---NA---;NA;NA;NA;noIPR;null
MA_4249g0010;---NA---;NA;NA;NA;noIPR|noIPR;null|null
MA_465215g0010;cation-chloride cotransporter 1 isoform X1;GO:0005215|GO:0006811|GO:0016020;transporter activity|ion transport|membrane;Molecular Function|Biological Process|Cellular Component;IPR018491|noIPR|noIPR;SLC12A transporter, C-terminal|SLC12A transporter, C-terminal|SLC12A transporter, C-terminal
MA_46769g0010;probable ADP-ribosylation factor GTPase-activating AGD6;GO:0005096;GTPase activator activity;Molecular Function;IPR001164|IPR001164|IPR001164|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR001164|IPR037278;Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|Arf GTPase activating protein|ARFGAP/RecO-like zinc finger
MA_47664g0010;serine threonine- kinase EDR1;GO:0004672|GO:0006468;protein kinase activity|protein phosphorylation;Molecular Function|Biological Process;noIPR|IPR001245|noIPR|IPR011009;null|Serine-threonine/tyrosine-protein kinase, catalytic domain|Serine-threonine/tyrosine-protein kinase, catalytic domain|Protein kinase-like domain superfamily
MA_50111g0010;kinesin KIN-13B;GO:0003777|GO:0005524|GO:0005874|GO:0007018|GO:0008017|GO:0045298;microtubule motor activity|ATP binding|microtubule|microtubule-based movement|microtubule binding|tubulin complex;Molecular Function|Molecular Function|Cellular Component|Biological Process|Molecular Function|Cellular Component;IPR036961|noIPR|IPR027640|noIPR|IPR001752|IPR027417;Kinesin motor domain superfamily|Kinesin motor domain superfamily|Kinesin-like protein|Kinesin-like protein|Kinesin motor domain|P-loop containing nucleoside triphosphate hydrolase
MA_5028840g0010;probable xyloglucan endotransglucosylase hydrolase 8;GO:0005618|GO:0006073|GO:0016762|GO:0048046;cell wall|cellular glucan metabolic process|xyloglucan:xyloglucosyl transferase activity|apoplast;Cellular Component|Biological Process|Molecular Function|Cellular Component;IPR010713|noIPR|noIPR|noIPR|IPR013320;Xyloglucan endo-transglycosylase, C-terminal|Xyloglucan endo-transglycosylase, C-terminal|Xyloglucan endo-transglycosylase, C-terminal|Xyloglucan endo-transglycosylase, C-terminal|Concanavalin A-like lectin/glucanase domain superfamily
MA_54183g0010;probable E3 ubiquitin- ligase BAH1-like 1 isoform X1;GO:0008270|GO:0044267;zinc ion binding|cellular protein metabolic process;Molecular Function|Biological Process;IPR001841|IPR013083|IPR001841|IPR033326|noIPR|IPR017907|IPR001841|IPR004331|noIPR|noIPR;Zinc finger, RING-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING-type|E3 ubiquitin-protein ligase BAH1|E3 ubiquitin-protein ligase BAH1|Zinc finger, RING-type, conserved site|Zinc finger, RING-type|SPX domain|SPX domain|SPX domain
MA_5732482g0010;galacturonosyltransferase 8;GO:0005982|GO:0005985|GO:0009117|GO:0047262;starch metabolic process|sucrose metabolic process|nucleotide metabolic process|polygalacturonate 4-alpha-galacturonosyltransferase activity;Biological Process|Biological Process|Biological Process|Molecular Function;IPR002495|IPR029044|IPR029993|noIPR|IPR029044;Glycosyl transferase, family 8|Nucleotide-diphospho-sugar transferases|Plant galacturonosyltransferase GAUT|Plant galacturonosyltransferase GAUT|Nucleotide-diphospho-sugar transferases
MA_6218g0010;pentatricopeptide repeat-containing mitochondrial;NA;NA;NA;IPR002885|IPR002885|noIPR|IPR002885|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885;Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat
MA_67868g0010;cytochrome P450 89A2-like;GO:0005506|GO:0016705|GO:0020037|GO:0055114;iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|heme binding|oxidation-reduction process;Molecular Function|Molecular Function|Molecular Function|Biological Process;IPR001128|IPR002401|IPR036396|IPR001128|noIPR|noIPR|IPR017972|noIPR|noIPR|noIPR|IPR036396|noIPR;Cytochrome P450|Cytochrome P450, E-class, group I|Cytochrome P450 superfamily|Cytochrome P450|Cytochrome P450|Cytochrome P450|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450, conserved site|Cytochrome P450 superfamily|Cytochrome P450 superfamily
MA_74667g0010;histone H2A;GO:0000786|GO:0003677|GO:0005634|GO:0046982;nucleosome|DNA binding|nucleus|protein heterodimerization activity;Cellular Component|Molecular Function|Cellular Component|Molecular Function;IPR002119|IPR002119|IPR007125|noIPR|IPR032454|noIPR|noIPR|noIPR|IPR032458|IPR002119|IPR009072;Histone H2A|Histone H2A|Histone H2A/H2B/H3|Histone H2A/H2B/H3|Histone H2A, C-terminal domain|Histone H2A, C-terminal domain|Histone H2A, C-terminal domain|Histone H2A, C-terminal domain|Histone H2A conserved site|Histone H2A|Histone-fold
MA_79051g0010;E3 ubiquitin- ligase RING1;GO:0003824|GO:0006511|GO:0008270|GO:0016567;catalytic activity|ubiquitin-dependent protein catabolic process|zinc ion binding|protein ubiquitination;Molecular Function|Biological Process|Molecular Function|Biological Process;IPR001841|IPR013083|IPR001841|noIPR|noIPR|noIPR|IPR001841|noIPR|noIPR;Zinc finger, RING-type|Zinc finger, RING/FYVE/PHD-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type|Zinc finger, RING-type
MA_82191g0010;40S ribosomal S15a-1;GO:0003735|GO:0005840|GO:0006412|GO:0042254;structural constituent of ribosome|ribosome|translation|ribosome biogenesis;Molecular Function|Cellular Component|Biological Process|Biological Process;noIPR|noIPR|IPR000630|IPR000630|noIPR|IPR000630|IPR035987;null|null|Ribosomal protein S8|Ribosomal protein S8|Ribosomal protein S8|Ribosomal protein S8|Ribosomal protein S8 superfamily
MA_8374078g0010;callose synthase 9;GO:0000148|GO:0003843|GO:0005982|GO:0005985|GO:0006075|GO:0016021;1,3-beta-D-glucan synthase complex|1,3-beta-D-glucan synthase activity|starch metabolic process|sucrose metabolic process|(1->3)-beta-D-glucan biosynthetic process|integral component of membrane;Cellular Component|Molecular Function|Biological Process|Biological Process|Biological Process|Cellular Component;noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR;null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
MA_900787g0010;cysteine-rich receptor kinase 2;GO:0004672|GO:0005524|GO:0006468;protein kinase activity|ATP binding|protein phosphorylation;Molecular Function|Molecular Function|Biological Process;IPR000719|noIPR|noIPR|noIPR|noIPR|IPR000719|noIPR|noIPR|noIPR|IPR017441|IPR008271|IPR000719|IPR011009;Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase domain|Protein kinase, ATP binding site|Serine/threonine-protein kinase, active site|Protein kinase domain|Protein kinase-like domain superfamily
MA_9035900g0010;heat shock 22 kDa mitochondrial isoform X2;NA;NA;NA;IPR008978|IPR002068|noIPR|IPR031107|IPR031107|noIPR|noIPR|IPR002068|noIPR|noIPR|IPR008978;HSP20-like chaperone|Alpha crystallin/Hsp20 domain|Alpha crystallin/Hsp20 domain|Small heat shock protein HSP20|Small heat shock protein HSP20|Small heat shock protein HSP20|Small heat shock protein HSP20|Alpha crystallin/Hsp20 domain|Alpha crystallin/Hsp20 domain|Alpha crystallin/Hsp20 domain|HSP20-like chaperone
MA_9132531g0010;diacylglycerol O-acyltransferase 2-like;GO:0016747;transferase activity, transferring acyl groups other than amino-acyl groups;Molecular Function;noIPR|IPR007130|noIPR|noIPR|noIPR;null|Diacylglycerol acyltransferase|Diacylglycerol acyltransferase|Diacylglycerol acyltransferase|Diacylglycerol acyltransferase
